PA37438	P31946
PA31559	Q8NC67
PA33830	P56730;Q96I80
PA164723819	A8MQ27
PA32857	P01178
PA25186	P01185
PA38519	Q8NFW8
PA142672059	Q8WUJ1
PA31779	Q92686
PA31563	O76050;B4DS86
PA25705	Q9BR09
PA164723835	Q96JN8
PA31651	Q9BYT8
PA28553	P17677;Q5U058
PA31560	Q99519;Q5JQI0
PA31561	Q9Y3R4
PA31562	Q9UQ49
PA134917116	Q8WWR8;B3KR54
PA35511	Q99574
PA31820	P30990;Q6FH20
PA162393214	Q5QGS0
PA134974801	Q0ZGT2;B4DDI0
PA31572	P21359
PA134887712	Q8NCF5
PA31587	Q14494;Q8NF22
PA31588	Q16236
PA31589	Q9Y4A8
PA31582	O95644
PA31583	Q13469
PA247	Q12968;B5B2S0;B5B2S1;B5B2S2
PA31584	Q14934
PA134949664	Q8NET5
PA128395771	O94856;B4DRH7
PA31581	O94916
PA31586	Q16621;A8K3E0
PA31540	P12036
PA31590	Q12857
PA31591	O00712;Q5VW28
PA31592	P08651
PA31593	Q16649
PA134943402	Q9BT67
PA134953250	Q9NV92;B4DGY6
PA31594	Q14938
PA248	P19838
PA31600	Q00653
PA31542	P07196
PA162397442	P07197;Q9UK51
PA31606	Q6P4R8
PA31607	Q9Y697
PA162397454	Q9UMS0
PA31608	Q12986;A0JLR2
PA38661	Q6ZNB6;Q8J028
PA31609	P23511
PA31610	P25208
PA31611	Q13952
PA30309	P80188
PA34235	Q9UJF2;A8K2P3
PA162398248	Q96E22
PA31612	Q9NPG2;A0M8W9
PA134957933	Q8NEJ9
PA31613	Q8N5V2
PA162397475	P01138
PA38462	Q96IV0
PA31569	Q92886
PA31570	Q9H2A3
PA31571	Q9Y4Z2
PA142671265	Q9NPE2
PA31621	P55769;Q6FHM6
PA144596401	Q9H9Q4
PA134916338	Q6VVB1
PA134883896	Q8NBF2
PA162397544	Q5JS37;Q68DP7
PA165450302	P0CG21
PA164723898	Q9NX24
PA35931	O14745
PA35932	Q15599
PA33165	Q5T2W1
PA134911718	Q86UT5;B0YJ61
PA134929320	Q5SYE7
PA31622	Q6T4R5
PA162385951	Q9BZQ8
PA162385984	Q96TA1
PA162386017	Q86XR2
PA142671271	Q92542
PA31623	Q9BSH3;B2R7Q3
PA31625	P14543
PA31626	Q14112
PA31629	Q9GZT8
PA31631	Q92982
PA31632	Q9NZG7
PA165392435	Q9Y2I6
PA31630	Q8N4C6;Q5XUU0
PA142671264	Q9Y221
PA134967361	Q7RTP0;Q8TAY1
PA134911294	Q8N8Q9
PA164723925	Q6NVV3
PA164723956	Q0D2K0
PA134931869	Q86WB0;Q9BWJ8
PA134962343	Q6KC79
PA31634	Q9BPW8
PA28593	O75323
PA31635	Q9Y2I1
PA31636	Q86X76
PA134882857	Q9NQR4
PA142672223	Q9HAS0
PA36302	P25103
PA36303	P21452
PA36304	P29371
PA162397563	Q5VXU1
PA162397582	Q8N8D7
PA162397583	Q8IVV8;B3KWY5
PA143485352	Q6ZUT1
PA162397607	Q5M9Q1
PA162397584	Q8N5F7
PA31637	Q969G9
PA31638	Q969F2
PA30163	P26715
PA30164	P26717
PA128394594	P26718
PA30165	Q07444
PA30166	O43908
PA31639	Q16617
PA134993651	Q17RQ9
PA134990602	O15226;A3F769;A3F768
PA31641	P30414
PA145148380	Q15270
PA134977174	Q9UD57
PA36531	P43699
PA31642	O95096
PA31643	Q8TAU0
PA31644	Q9H2Z4
PA24202	P52952
PA38402	O15522
PA31645	Q99801
PA162397617	P78367
PA31646	P78426
PA134896334	Q9C056
PA145148400	A6NJ46
PA142671263	Q9NVX2
PA31647	Q8N2Q7
PA31648	Q8NFZ4
PA31649	Q9NZ94;Q4G160
PA31650	Q8N0W4
PA38386	Q8NFZ3
PA134914500	Q9UBE8
PA162397626	Q7RTR2;C3VPR7
PA162397671	Q9NPP4
PA162397694	Q86WI3;Q9H6Y0
PA162397797	Q9C000
PA26512	Q96P20
PA162398002	P59044
PA162398029	Q7RTR0
PA162398052	Q86UT6
PA165751549	Q8NA29
PA35014	P22307
PA31655	P28336
PA31654	P08949
PA28983	Q8TCU5
PA28984	O60391
PA134884140	Q96D46
PA28979	Q12879;Q547U9;Q59EW6;B4DII7
PA28980	Q13224
PA28981	Q14957;O15398
PA28982	O15399;Q59G17
PA28978	Q05586
PA142672265	Q9C002
PA31659	Q13287
PA31660	Q9HAN9
PA25604	Q9BZQ4
PA134952303	Q96T66
PA145007922	Q9HBL8
PA142671260	Q5H8A3
PA31661	P30419
PA31662	O60551
PA28910	Q9HB89
PA31664	Q9GZQ4
PA31663	P48645
PA31665	Q16517
PA251	P40261;Q6FH49
PA164717652	Q8IW45
PA38538	Q8NCW5
PA31667	Q13423
PA142670539	Q9NP64
PA134878853	Q8NC60
PA143485585	Q9ULX3
PA142671261	Q9Y3T9
PA134887727	Q8WTT2
PA142671262	Q9BVI4
PA26176	Q9UK39;Q8WTX0
PA162398098	Q9Y239
PA26074	Q9HC29
PA31669	Q96S42
PA31915	Q99784;Q6IMJ8;Q6IMJ7
PA31916	O95897
PA31917	Q96PB7;B3KTG9
PA134922009	Q9BZE4;D2CFK9
PA134944852	Q13823;Q5T0F3
PA31670	Q13253
PA142671257	Q9BSC4
PA142671258	Q9H8H0
PA145148362	Q9UGY1
PA31673	O60936;Q5TZN6
PA25652	Q96MY1
PA31674	O94818
PA134979388	Q9H6R4
PA134881915	Q9UMY1
PA134918056	Q76FK4
PA142671256	Q5SY16
PA31679	Q14978
PA25946	Q5C9Z4
PA134934458	Q15155
PA134958124	Q5JPE7
PA134950400	P69849;Q1LZN2
PA31680	Q15233
PA164723973	Q9NPE3
PA164723982	P78316
PA164724025	Q9Y3C1
PA164724026	P46087
PA28736	Q9NZM5
PA164724063	O00567
PA164724092	Q9Y2X3
PA134867241	Q86U38
PA252	P29475;B3VK56;A0PJJ7
PA164724093	P35228
PA254	P29474;A0S0A6
PA134989259	Q9Y314
PA134992787	Q8IVI9
PA31683	P46531
PA31684	Q04721
PA31685	Q9UM47
PA31686	Q99466
PA134895171	A8MTQ0
PA142671250	Q6P988
PA31688	P51513
PA31689	Q9UNW9
PA31690	Q9Y5S8
PA31691	Q9HBY0
PA31692	Q9NPH5;B3KQ17
PA31693	Q96PH1
PA35598	Q86UR1
PA134896072	Q8NFA2
PA31439	P55209
PA31440	Q9ULW6
PA31441	Q99457
PA31442	Q99733
PA134921404	Q96NT1
PA162408676	O60287
PA164723926	Q9H841
PA164723927	Q6P499
PA25519	Q9NZP6
PA31695	Q99742
PA31696	Q99743;A2I2P5
PA134968746	Q8IXF0
PA142671254	Q8IUM7
PA31697	Q14207
PA28912	P48145
PA28923	P48146
PA142671255	Q8NG41
PA31698	O15118
PA31700	P61916
PA31699	Q9UHC9
PA31701	Q9NQX5
PA134934991	Q9GZQ6
PA28918	Q9Y5X5;A0PJM9
PA31704	O15130
PA31709	O60500
PA31706	O15259
PA31708	Q7Z494
PA134927048	O75161
PA31711	Q9UND3
PA164724182	Q92617
PA143485558	Q8TAT6
PA25602	Q9BXD5
PA31732	Q86SE8
PA31733	O75607
PA31712	P06748
PA165697981	Q8WTW4
PA25550	Q12980;Q9BTE2
PA134954501	Q9UFN0
PA134947095	Q9BS92
PA134951416	Q6W5P4
PA162398160	P0C0P6
PA35820	Q14916
PA35887	Q06495;Q7Z725;Q86VN6
PA35888	O95436
PA134930298	Q8N130
PA35821	O00624
PA35822	O00476
PA134927704	Q9Y639
PA31738	Q15818
PA31739	P47972
PA31740	O95502
PA162398161	Q9HCQ7
PA142671248	Q8N729
PA258	P25929
PA31741	P49146
PA33692	P50391
PA31742	Q15761
PA255	P01303;A4D158
PA31744	P15559
PA31745	P16083
PA31746	P51843
PA31747	Q15466
PA31748	P20393
PA31749	Q14995;B4DXD3
PA31750	P55055
PA31751	Q13133
PA31752	Q96RI1;B6ZGS9
PA378	O75469
PA391	Q14994
PA31754	P13056
PA31755	P49116;Q6PHZ7
PA162398172	Q86WQ0
PA31756	Q9Y466;B6ZGT9
PA31757	Q9Y5X4
PA31760	P10588
PA31761	P22736
PA31762	P43354;Q53EL4
PA31763	Q92570
PA31765	O00482;Q9UEC0
PA31766	Q15406
PA162378139	Q8N912
PA319	P49279
PA259	P49281
PA164724205	Q7Z6K4
PA134946285	Q96F24
PA134891143	Q9NSY0
PA31772	Q9UHY1
PA31773	Q92823;Q6QRP2
PA31774	O43847;Q6UUU9
PA134926790	Q9H7Z3
PA128394547	Q16612
PA31775	Q16656
PA31776	Q02297;Q7RTW3;Q7RTW5;A6MW55;A6MW56;B0FYA9;B7Z1D7;Q6PK61;B0FYA7
PA31777	O14511
PA31778	P56975;B9EGV5;B3KVG8
PA142671246	Q8WWG1
PA31780	P48552;A8K171
PA134978127	Q9BQI9
PA25481	Q9NQ35
PA134946592	Q9NWW6
PA134938442	Q9NPI5
PA134869113	Q7Z2Y5
PA31781	P54845
PA31782	Q8IXM6
PA162398187	Q496H8
PA38477	Q9NPD7
PA31783	O14786;Q6AWA9;Q68DN3;Q59F20
PA31784	O60462;Q7Z3T9
PA38254	Q8IZ57
PA25805	Q9GZP1
PA31785	Q99748
PA31786	Q9ULB1;Q49A31;A4FVB9
PA31787	Q9P2S2;P58401
PA31788	Q9Y4C0;Q9HDB5
PA134875300	Q9Y6Y0
PA165660390	O95478;Q5J7U2
PA31790	Q96L73;Q96MN8
PA37369	O96028
PA134959020	Q15738
PA134943761	Q8WV22
PA142672355	Q96MF7
PA31480	Q96MG7
PA162398205	Q9NXX6
PA31794	Q9UNZ2;Q53FE8
PA31793	P46459;Q96D47
PA162398188	Q96IY1;Q53FM2
PA37862	Q9NY59;A8K0T6
PA145148067	Q9NXE4
PA35970	O60906
PA134917144	Q6X4W1
PA143485559	Q3KNT7
PA143485560	Q63ZY6
PA142672171	Q9H0G5
PA134953940	Q08J23
PA134961151	Q9H649
PA134953046	Q96CB9
PA134993779	Q96P11
PA134986220	Q8TEA1
PA134983899	Q7Z3S9
PA31798	Q8TCD5
PA134892962	Q5TFE4
PA143485561	Q9H857
PA143485562	Q86UY8
PA31805	Q9NPB1
PA37356	Q9GZY6
PA134863573	Q96AB6
PA164727566	Q96HA8
PA318	Q12908
PA134941471	Q96EP9
PA134933839	Q5PT55
PA162403478	Q0GE19
PA317	Q14973;B2RA41
PA38365	P61970
PA31806	P20783
PA162398206	P34130
PA31811	P78549
PA162395788	Q9BV86
PA162395801	Q5VVY1
PA134875735	Q8IVF1
PA134908712	A6NNL0
PA134912178	Q5VT03
PA134988973	B1AL46
PA134981634	A1L443
PA134899635	Q5VZR2
PA164742200	Q9Y2I2;Q5IEC6;Q5IEC8;Q5IEC3
PA134962540	Q96CW9;O95898
PA142672508	Q9BSD7;Q5TDE9
PA31821	P30989
PA31822	O95665
PA164724212	Q9P121
PA31817	P04629
PA31818	Q16620;Q5VWE5;Q548C2
PA31819	Q16288;Q96CY4
PA134890486	P57740
PA31847	Q8WUM0
PA31848	P49790
PA31849	O75694
PA31850	Q12769
PA134908952	Q5SRE5
PA31259	P03886
PA38624	Q92621
PA31851	P35658
PA31260	P03891
PA31264	P03901
PA31263	P03905
PA31266	P03923
PA144596402	Q9NRX3
PA142671242	O60285
PA142671243	Q9H093
PA147357533	Q9Y5A7
PA31823	P53384
PA31824	Q9Y5Y2
PA134907818	Q8TB37
PA31825	Q02818
PA31826	P80303
PA27783	Q14249
PA142671244	Q9H1E3
PA31469	P19338;B3KM80
PA31831	Q8NFP7
PA31832	Q96G61
PA38699	Q9BQG2
PA38700	Q86X67
PA134971372	O95848
PA134963132	Q9NV35
PA134955224	Q96DE0
PA134890899	P0C025
PA142671238	Q6ZVK8
PA142671239	A8MXV4
PA142671240	Q9BRQ3
PA134985670	Q96RS6
PA134991349	Q8WVJ2
PA134989375	Q8IVD9
PA31827	Q9Y266
PA31834	O95989
PA31835	Q9NZJ9
PA31838	Q9UKK9
PA31839	P53370
PA31840	P0C024
PA31841	Q8WV74
PA31842	Q9BW91;Q8NG26;Q96KB3
PA162398215	Q9BZD4
PA31843	Q9UHK0
PA143485564	Q7Z417
PA31844	Q14980;Q3SYK8;Q4LE64
PA31846	Q9Y6R0
PA31845	P49757
PA134861481	Q8NFH5
PA134948997	Q8NFH4
PA134990469	O15504
PA134930788	Q8NFH3;Q8TEA6
PA31852	Q9UKX7
PA31853	Q7Z3B4
PA134981903	Q9BVL2
PA31854	P37198
PA142671241	Q9BW27
PA31855	Q99567
PA134912759	Q8N1F7
PA31856	P52948
PA165450395	O60356
PA134987502	Q9BXS6
PA162378206	Q86Y26
PA31857	O15381
PA145148614	Q9ULI1
PA31858	Q9UBU9;Q59E96
PA162398310	Q9GZY0
PA31860	Q9H4D5
PA31862	Q9H1B4
PA162398383	Q96CM4
PA162398384	Q5VZ03
PA31863	Q6DKJ4
PA162385681	Q8IWE2
PA134910690	Q8N323
PA134977295	Q969Y0
PA134871713	Q6UWF7
PA134961263	P58417;Q3LID8
PA31864	O95156
PA31865	O95157
PA31866	O95158
PA134935429	Q6NXP6
PA31867	Q9UKK6
PA134928861	Q9NPJ8
PA162380561	Q6ZVC0
PA165696738	Q9P242
PA165479228	Q9P2P1
PA31871	Q9GZU5
PA31950	Q9H208
PA31951	P58181
PA31952	Q9H209
PA31953	Q9H207
PA31954	Q8NH74
PA31955	Q8NGE5
PA31959	Q8NGE0
PA134929321	Q8NH19
PA31969	Q8NGC3
PA31970	Q8NGC4
PA31971	Q8NGN3
PA31974	Q8NGN6
PA31975	Q8NGN5
PA31976	Q8NGN4
PA31977	Q9Y4A9
PA31978	O60403
PA31979	O60404
PA31980	Q8NGA5
PA31981	Q8NGA6
PA31982	P30954
PA31984	Q5JRS4
PA31986	Q8NHC4
PA31988	Q8NGX5
PA31989	Q6IF99
PA31991	Q8NGE3
PA31994	Q8NGQ4
PA31997	Q8NGX6
PA31999	Q8NGN2
PA32001	Q8NGX3
PA32003	Q8NGI7
PA32006	Q8NGF6
PA32007	Q8NGY0
PA32009	Q8NGY1
PA32010	Q9GZK7
PA32012	Q8NGC1
PA32013	Q8NG94
PA32016	Q8NGC9
PA32018	Q8NGC7
PA142671220	B2RN74
PA32025	Q8NGX0
PA32028	P58182
PA32029	Q9UGF7;D2XT27
PA32030	Q8NGR1
PA32032	Q8NGS9
PA32033	Q8NGS6
PA32034	Q8NGS5
PA32035	Q8NGS8
PA32038	Q8NGS7
PA32039	Q8NGT0
PA32040	Q8NGV5
PA32045	Q8NGS4
PA32046	Q8NGZ3
PA32047	Q8NG92
PA32049	Q8NGT2
PA162398441	Q8NHC5
PA162398442	Q8NHC7
PA162398443	A6ND48
PA162398444	Q9UGF5
PA32478	Q8NGZ2
PA32475	Q8NHC6
PA32104	Q8NGT7
PA32106	Q96R47
PA134892120	A4D2G3
PA32123	Q8NHA4
PA32126	Q9H205
PA32127	A6NM03
PA134921949	Q8NG84
PA134941860	A6NND4
PA134982857	Q8NGZ9
PA134948800	Q8NH01
PA134941840	Q8NG77
PA134945560	Q8NH04
PA134876557	Q8NH02;Q8NH00
PA134889138	Q8NG76
PA134944535	Q8NGX1
PA134968902	Q8NGX2
PA32234	Q8NGL6
PA32235	Q8NH70
PA134952685	Q6IF82
PA134910149	A6NHA9
PA32283	Q8NGB8
PA32285	Q8NGA8
PA134918173	O95013
PA32355	Q8NGJ7
PA32357	Q8NGJ6
PA32360	Q8NH64
PA32364	Q9Y5P1
PA32366	Q9Y5P0;A4FU14
PA134907440	Q9H339
PA134989095	Q9H340
PA32370	Q8NGF3
PA32371	Q8TCB6
PA32372	Q9H255
PA32375	Q8NH61
PA32376	Q8NGK1
PA32377	Q8NGK0
PA32380	Q9H343
PA32381	Q9H344
PA32384	Q8NGJ5
PA32388	Q8NH59
PA32390	Q8NGJ8
PA134873075	Q9H2C8
PA32392	Q9UKL2
PA134969174	A6NMU1
PA134991603	Q9H2C5
PA32396	Q96RD2
PA32398	Q8NGK2
PA32400	Q8NGF0
PA32401	Q9H346
PA32402	Q8NGJ3
PA32403	Q8NGJ4
PA32405	Q8NGH9
PA32407	Q96RD3
PA32409	Q6IFG1
PA32410	Q8NGJ2
PA32412	Q8NGK6
PA32413	Q8NH67
PA32416	Q8NH60
PA32417	Q8NGK4
PA32418	Q8NGK3
PA32420	Q8NGH7
PA32422	Q8NGK5
PA32425	Q8NH53
PA32426	Q8NGI0
PA32428	Q8NGI2
PA32429	Q8NH56
PA32433	Q8NGF1
PA32453	Q6IF63;Q8NH76
PA32443	Q8NGH5
PA32445	Q8NH54
PA32446	Q8NGH8
PA32447	P0C7T3
PA32450	Q8NGI3
PA32457	Q9NZP5
PA32460	Q8NH90
PA32466	Q8NGI8
PA32469	Q8NGF4
PA32471	Q8NGP9
PA32472	Q8N127
PA32474	Q8NGC0
PA134948167	A6NHG9
PA134956122	A6NDH6
PA134924624	A6NJZ3
PA134911831	A6NDL8
PA134915898	A6NIJ9
PA134897737	A6NCV1
PA134873229	A6NL08
PA134906466	A6NM76
PA32675	Q6IFN5
PA142671234	Q86UD1
PA134879529	Q9Y530
PA31875	P00973
PA31876	P29728;Q7Z6D0
PA31877	Q9Y6K5
PA31879	Q15646;B3KN79
PA31880	P04181
PA31884	P54368
PA31885	O95190
PA31886	Q9UMX2
PA33535	Q16633
PA162401869	Q5W0B1
PA134915019	Q9NY56
PA134883553	Q9NPH6
PA134913422	O15243
PA31888	Q5VST9
PA142671235	O75147;Q9H8B3
PA31889	Q02509
PA134898158	Q9NX40
PA128394755	Q56VL3
PA164716815	Q8TAD7
PA162398385	Q9H607
PA31893	Q16625
PA164724233	P0CE71
PA31896	Q01968
PA25664	Q9BR26
PA26887	Q9UKG9
PA134930463	Q8IXM7
PA162398387	Q3SX64
PA145148342	A1E959
PA145008917	Q17RF5
PA27167	P11182
PA25297	P12694;Q59EI3
PA25298	P21953
PA37880	Q9BQT8
PA142671232	Q9ULJ1
PA134952791	Q96PU9
PA162398386	A8MYP8
PA31901	Q14990
PA31902	Q5BJF6
PA134978853	Q2M2E3
PA31910	Q02218;B4E3E9
PA27367	P36957
PA27350	P10515;Q86YI5
PA33151	P29803
PA33150	P08559
PA33152	P11177
PA134976445	O00330
PA134934744	Q5SWX8
PA31909	O75665
PA33495	Q9H488
PA25867	Q9Y2G5
PA30787	O60502
PA134878907	Q9ULD0
PA143485568	Q8N543
PA143485569	Q6N063
PA164716907	Q6PK18
PA31911	Q9NZT2
PA31912	O15527
PA28911	Q15743;A1A5B2
PA128394713	Q5TC84
PA31914	O15294
PA142671231	Q8WWZ8
PA162398388	Q9NTK5
PA134904379	Q6UWY5;Q5HYE3
PA134913777	Q9NRN5
PA134984745	Q6UX06
PA31918	Q8TAK6
PA31919	Q13516
PA134945348	Q7RTU3
PA134967883	Q68BL7
PA134990758	Q68BL8
PA31920	P78380
PA134911478	Q96E52
PA31921	Q99983
PA31922	P23515
PA31923	P47874
PA32836	P13725
PA31894	P0CE72
PA31925	O95948
PA31926	O60422
PA162398414	A6NGQ2
PA162399666	Q86WS3
PA31927	O60313
PA31929	Q9H6K4
PA162398424	Q96PE5
PA31930	Q14982
PA31934	O60890
PA31935	O14841
PA31939	Q9H1Y3
PA31940	Q9UHM6
PA134942887	Q6U736
PA31942	P41143
PA31943	P41145
PA31945	P35372
PA31944	P41146
PA31938	P03999;Q0PJU0
PA34390	P08100
PA142671229	P04001
PA31936	P04000
PA34865	O14718
PA31948	Q96CV9
PA31947	Q9UBM4
PA32051	Q9P1Q5
PA32052	Q9Y585
PA32055	Q8NGR6
PA32056	Q15619
PA32057	P34982
PA32060	P58170
PA32062	P30953
PA32063	P47887;Q6IFM7
PA32070	O43749
PA32075	Q96R84
PA32073	Q8NHA8
PA32076	P47890
PA32078	O60431
PA32079	Q8NGS3
PA32080	Q8NGS2
PA32081	Q8NGS1;A3KME5
PA32083	Q8NGR3
PA32084	Q8NH94
PA32085	Q8NH93
PA32086	Q8NGR5
PA32087	Q8NGR2
PA32088	Q8NGR8
PA32089	Q8NGA1
PA32090	Q8NGS0
PA32091	Q8NGR9
PA32094	Q15612
PA32098	Q8NH92
PA32099	Q8NGQ3
PA134971566	Q8NGT9
PA32117	O95047
PA32118	Q96R48
PA32120	Q96R45
PA32141	Q9GZK3
PA32144	P58173
PA134961529	Q5JQS5
PA32147	O95371
PA32149	Q8N628
PA32152	Q9H210
PA32153	Q8NGH3
PA32155	Q13607
PA32156	O95006
PA32159	Q8NGZ5
PA32160	Q8NGZ4
PA142671228	Q5TZ20
PA32161	Q9GZK4
PA32162	O95918
PA32177	O76002
PA32178	O76001
PA32181	Q8NGT1
PA32183	Q8NH16
PA32184	Q8NG85
PA32189	Q8NGY9
PA134982185	Q8N349
PA32192	Q96R28
PA32193	Q8NG83
PA32194	Q96R27
PA134871998	A3KFT3
PA134874354	Q8NG81
PA32200	Q9NQN1
PA32201	O43869
PA32202	Q6IF00
PA32203	Q8NH03
PA32205	Q6IEZ7
PA32206	Q8NHC8
PA32208	A6NH00
PA32212	Q96R30
PA32214	Q9Y3N9
PA32216	Q7Z3T1
PA32218	A6NFC9;Q63ZY2
PA32220	Q8NGV0
PA32221	Q8NG97
PA32223	P47881
PA32224	P47893
PA32225	P47888
PA32250	Q8NGF8
PA32261	Q8NH37
PA32264	Q8NH72
PA32253	Q6IEV9
PA32254	Q96R67
PA32255	Q8NGP0
PA32258	Q8NGL9
PA32267	Q15615
PA32270	P58180
PA32272	Q8NGN0
PA32273	Q8NGJ1
PA32276	Q8NGE8
PA32268	Q8NGI6
PA32269	Q8NGI4
PA32278	Q8NGC2
PA32284	Q6IEY1
PA32290	Q96R69
PA32291	Q8NH21
PA32292	Q8NGB9
PA32308	Q8NGD4
PA32317	Q8NGD2
PA32318	Q96R72
PA32320	Q8NGD3
PA32312	Q8NH42
PA32313	Q8NGD5
PA32314	Q8NH41
PA32325	Q8NH43
PA32327	Q8NGD0
PA32328	Q8NGB6
PA32330	Q8NGD1
PA32332	Q8N0Y3
PA32333	Q8IXE1
PA32337	Q8NGL7
PA32340	Q8NH05
PA32344	Q8NGB4
PA32345	Q8NH73
PA32350	Q8NH49
PA32351	Q8NGF9
PA32454	Q8NGJ0
PA32455	Q8NGI9
PA32490	Q96R09
PA32491	Q8NH48
PA32481	Q96R08
PA32486	Q8NGF7
PA134867164	A6NL26
PA32511	Q8NGR4
PA32572	Q8NGL4;Q8NH69
PA32517	Q8NGL3
PA32519	Q8NGK9
PA32521	Q8NGL1
PA32526	O95221
PA32532	A6NKK0
PA32533	Q8NGV7
PA32537	Q8NGV6
PA32540	Q13606
PA134982020	Q8NH18
PA32542	Q8NHB7
PA32543	Q8NHB8
PA134984948	A6NET4
PA134945625	A6NMS3
PA32544	Q8NGL2
PA32545	Q8NGL0
PA32546	Q8NGP8
PA32553	Q8NGP4
PA32558	Q8NGP6
PA32559	Q8NGP3
PA32547	Q6IEU7
PA32548	Q96RB7
PA32561	Q8WZ92
PA32562	Q8WZ94
PA32564	Q8NH85
PA32566	Q8NG75
PA32567	Q8NGG2
PA32568	Q8NGG3
PA32570	Q9UGF6
PA32574	O95222
PA32576	O95007
PA32577	Q6IFH4
PA32578	Q8NGW1
PA32579	Q96RD1
PA32580	Q9NZP2
PA32581	Q9NZP0
PA134970819	Q8NGE1
PA134937223	A6NF89
PA32585	Q8NGZ6
PA32589	Q8NGY2
PA32590	Q8NGY3
PA32593	Q8NGW6
PA32596	Q8NGM8
PA32599	Q8NGY5
PA32600	Q8NGY6
PA32601	Q8NGX9
PA32602	Q8NGQ2
PA32604	Q8NH40
PA32605	Q8NGN1
PA32607	Q8N148
PA32609	Q8NH79
PA32610	Q8NGX8
PA32622	Q15622
PA32611	O76100
PA32616	O14581
PA32624	O76099
PA32625	O60412
PA32627	Q96RA2
PA32628	Q8NG98
PA32737	Q8NGA0
PA32739	Q8NG95
PA32744	Q8NGG7
PA32750	Q96RD0
PA32751	Q8NGG8
PA32752	Q96RC9
PA32756	Q15620
PA32748	Q8NGG6
PA32760	Q8WZ84
PA32761	Q9GZM6
PA32762	Q8NGM9
PA32764	Q15617
PA32767	Q8NGG4
PA32768	Q8N162
PA32769	Q8N146
PA32771	Q8N0Y5
PA32772	Q8NGP2
PA32774	Q8NGG0
PA32775	Q8NGG5
PA32777	Q8NH51
PA32779	Q8NH50
PA134896911	Q8NH09
PA134970669	Q8NH10
PA142671222	P0C7N1
PA142671223	P0C7N5
PA32785	Q8NGT5;A4D2H9
PA32787	Q8NGU2
PA32788	Q8NH87
PA32791	Q8NGQ1
PA142671224	P0C7N8
PA32794	Q8NGQ6
PA32799	Q8NGE7
PA32805	Q8NGQ5
PA32806	Q8NGE9
PA162398454	Q96SN7
PA162398465	Q9BRQ5
PA32808	Q13415
PA32809	Q13416
PA32810	Q9UBD5
PA32811	O43929
PA32812	O43913;A4D0P7
PA32813	Q9Y5N6
PA29221	O43612
PA32819	Q9P0S3
PA32820	Q53FV1
PA32821	Q8N138
PA35861	Q9Y619
PA134910073	Q9BXI2
PA142671085	Q9Y3B8
PA164724245	Q13438
PA32824	Q9BXB5;Q9NX98
PA32825	Q9BXB4
PA32826	Q9BXW6;B0YJ56;Q6GSK5
PA32827	Q9H1P3
PA32828	Q9H4L5
PA32829	Q9H0X9;A8KAD5
PA32830	Q9BZF3
PA32831	Q9BZF2;Q8WXP9
PA32832	Q9BZF1;Q5HYM3
PA32833	Q96SU4
PA32822	P22059
PA32823	Q969R2
PA162398474	Q8IYS5
PA165752125	Q8WVF1
PA25651	Q9NX31
PA32834	Q9NPF4
PA162398489	Q9UJX0
PA162398506	Q9Y236
PA134959704	Q9H4B0
PA32837	Q99650
PA164742217	Q8TAX0
PA134924513	Q8N2R0
PA27195	P39656
PA165697090	P0C6T2
PA25345	P02818
PA164724280	Q9NRP0
PA32839	Q92882
PA134941162	Q86WC4
PA134912892	P61366
PA36085	P10451
PA32840	P00480
PA38403	Q7RTW8;Q05BM7
PA32841	Q9HC10
PA134883507	Q7RTM1
PA134930692	Q7RTS6
PA134888566	Q7RTS5
PA32843	Q9NRC9
PA134906408	Q8NHW6
PA32844	Q5XKR4
PA142670552	Q5VVQ6
PA142671218	Q7L8S5
PA142671219	Q8N6M0
PA134877572	Q8TE49
PA134873802	Q6GQQ9
PA134988141	Q96FW1;B3KUV5
PA134861658	Q96DC9
PA134932304	Q5VV17
PA142671215	Q5T2D3
PA142671216	Q01804
PA142671217	Q96G74
PA142671788	Q9NUU6
PA142671789	Q96BN8
PA32848	P32242
PA32849	P32243
PA165432281	Q8WZ82
PA134910581	Q7RTY7
PA32852	Q12889;Q86YN0
PA32853	O14753
PA38039	Q9BRP0
PA29222	O43613
PA162400554	P83859
PA30911	P41217
PA29223	O43614
PA32854	Q15070;Q2M1J6
PA27139	P14920
PA27194	Q99489
PA134983779	Q8TDS5
PA28924	Q96P68;B2R986
PA38795	Q96RQ9
PA162378543	Q5BKU9
PA142671213	Q96HP4
PA32856	Q8N573
PA142671214	Q9NWU1
PA134973207	O95747
PA32858	P30559;B2R9L7
PA37518	Q15072
PA134987951	Q96HA1;Q9Y6I0
PA33524	Q96KW2
PA162399772	Q6GTS8
PA162399803	Q8IYS1
PA134874888	A8MW92;Q9H8G4
PA134984604	Q5VU65
PA35523	Q06190
PA134878872	Q9Y5P8
PA162400008	Q969Q6
PA32861	P51575
PA32862	Q9UBL9
PA32863	P56373
PA32864	Q99571
PA32865	Q93086
PA162398523	O15547
PA32866	Q99572
PA32868	P47900
PA32870	P41231
PA32871	P51582
PA32872	Q15077
PA32873	Q86VZ1
PA134873055	O00398
PA32869	Q96G91
PA134971947	Q9H244
PA28853	Q15391;A5JUU3
PA143485516	Q96A73
PA33304	O00443
PA33305	O00750;A2RUF7
PA33306	O75747
PA134930599	Q32P28
