Lepirudin	DB00001
Tarenflurbil	DB05289
Vandetanib	DB05294
Eldecalcitol	DB05295
Motexafin_lutetium	DB05296
DHA-paclitaxel	DB05297
Keyhole_limpet_hemocyanin	DB05299
Girentuximab	DB05304
ANX-510	DB05308
Ecallantide	DB05311
MP4	DB05313
MC-1	DB05315
Pimavanserin	DB05316
Oportuzumab_monatox	DB05319
PEG-uricase	DB05321
Ranirestat	DB05327
Romiplostim	DB05332
Obiltoxaximab	DB05336
Ciliary_neurotrophic_factor	DB05344
Dexlansoprazole	DB05351
ACR-16	DB05371
Cannabinoid_receptor	DB05372
Rindopepimut	DB05374
Histamine	DB05381
Iodine	DB05382
Pimagedine	DB05383
PRO_2000	DB05385
WF10	DB05389
Corticotropin-releasing_hormone	DB05394
Amibegron	DB05395
Albinterferon	DB05396
QS21	DB05400
Emricasan	DB05408
Selective_estrogen_receptor_modulator	DB05414;DB05882
GW501516	DB05416
Gallium_maltolate	DB05420
Canertinib	DB05424
Motexafin_gadolinium	DB05428
ABT-510	DB05434
AVAC	DB05441
TA-NIC	DB05445
P54	DB05451
OSI-7904L	DB05457
Pozanicline	DB05458
Briakinumab	DB05459
ADH-1	DB05485
Custirsen	DB05487
Otelixizumab	DB05496
Belnacasan	DB05507
Atiprimod	DB05513
Budiodarone	DB05519
Telaprevir	DB05521
Mipomersen	DB05528
PV-10	DB05531
Alanosine	DB05540
Brivaracetam	DB05541
Iratumumab	DB05550
Regrelor	DB05553
Enokizumab	DB05555
Naluzotan	DB05562
Motesanib	DB05575
Ramucirumab	DB05578
Cantuzumab_ravtansine	DB05594
Farletuzumab	DB05595
PRX-03140	DB05596
PRX-08066	DB05607
Sodium_stibogluconate	DB05630
Error_catastrophe	DB05644
Larazotide	DB05645
Veltuzumab	DB05656
Faropenem	DB05659;DB12190
Levoketoconazole	DB05667
Apremilast	DB05676
Ustekinumab	DB05679
Sivifene	DB05686
BL-1020	DB05687
NPS-2143	DB05695
GTS-21	DB05708
Gantacurium_chloride	DB05710
Elesclomol	DB05719
ACV1	DB05724
Varespladib_methyl	DB05737
CYT006-AngQb	DB05739
AVE-1625	DB05750
Andrographolide	DB05767
Alkaline_phosphatase	DB05768
Trastuzumab_emtansine	DB05773
Irofulven	DB05786
Oxygent	DB05791
Relaxin	DB05794
YKP-10A	DB05795
TNX-901	DB05797
Dehydroepiandrosterone_sulfate	DB05804
NS-2359	DB05805
Abiraterone	DB05812
G207	DB05827
Preotact	DB05829
Trestolone	DB05830
Chaperone_%28protein%29	DB05836
Cryopreservation	DB05852
Thiazolidinedione	DB05854
Rivanicline	DB05855
Tasquinimod	DB05861
TRX1	DB05863
Protease_inhibitor_%28pharmacology%29	DB05868
Substance_P	DB05875
Seletracetam	DB05885
Inotuzumab_ozogamicin	DB05889
IT-101	DB05899
MYO-029	DB05915
CT-011	DB05916
Fibroblast_growth_factor_receptor_1	DB05928
Pegdinetanib	DB05931
G_protein-coupled_receptor	DB05939
PRO_140	DB05941
EVT-101	DB05956
Amitifadine	DB05964
TAS-108	DB05966
PR-104	DB05968
Crocetin	DB05974
Bardoxolone_methyl	DB12651;DB05983
Obeticholic_acid	DB05990
Plinabulin	DB05992
PRX-07034	DB05993
Glembatumumab_vedotin	DB05996
Aldoxorubicin	DB06013
Eteplirsen	DB06014
Cariprazine	DB06016
Filanesib	DB06040
Olaratumab	DB06043
Trofinetide	DB06045
Linsitinib	DB06075
Lumateperone	DB06077
ABT-869	DB06080
Caplacizumab	DB06081
3,5-Dihydroxy-4-isopropyl-trans-stilbene	DB06083
Friulimicin	DB06087
Bradanicline	DB06090
Evofosfamide	DB06091
3,4-Methylenedioxy-N-isopropylamphetamine	DB06112
Eldelumab	DB06116
Cenobamate	DB06119
Dimethylcurcumin	DB06133
Sertindole	DB06144
Spiramycin	DB06145
Sulfathiazole	DB06147
Mianserin	DB06148
Teicoplanin	DB06149
Sulfadimethoxine	DB06150
Acetylcysteine	DB06151
Nylidrin	DB06152
Pizotifen	DB06153
Pentaerythritol_tetranitrate	DB13526;DB06154
Rimonabant	DB06155
Tesofensine	DB06156
Istaroxime	DB06157
Rubitecan	DB06159
Garenoxacin	DB06160
Lumiliximab	DB06162
Fosdevirine	DB06166
Canakinumab	DB06168
Paclitaxel_trevatide	DB06171
Noscapine	DB06174
Romidepsin	DB06176
Glufosfamide	DB06177
Forodesine	DB06185
Ipilimumab	DB06186
Solabegron	DB06190
Zosuquidar	DB06191
Nimotuzumab	DB06192
Pixantrone	DB06193
Seliciclib	DB06195
Icatibant	DB06196
Alovudine	DB06198
Atrasentan	DB06199
Tedisamil	DB06200
Rufinamide	DB06201
Lasofoxifene	DB06202
Alogliptin	DB06203
Tapentadol	DB06204
Sugammadex	DB06206
Silodosin	DB06207
Prasugrel	DB06209
Eltrombopag	DB06210
Doripenem	DB06211
Tolvaptan	DB06212
Regadenoson	DB06213
Iron(II,III)_oxide	DB06215
Asenapine	DB06216
Vernakalant	DB06217
Lacosamide	DB06218
Dalbavancin	DB06219
Alicaforsen	DB06224
E75	DB06226
Rivaroxaban	DB06228
Ocaperidone	DB06229
Nalmefene	DB06230
Deforolimus	DB06233
Maribavir	DB06234
Vadimezan	DB06235
Elvucitabine	DB06236
Avanafil	DB06237
Tariquidar	DB06240
Clenoliximab	DB06241
Eflornithine	DB06243
FGF2	DB06244
Exisulind	DB06246
CX-516	DB06247
Arzoxifene	DB06249
Fluasterone	DB06250
Incadronic_acid	DB06255
Aviptadil	DB06260
Cysview	DB06261
Droxidopa	DB06262
Amrubicin	DB06263
Tolperisone	DB06264
Lonidamine	DB06266
Udenafil	DB06267
Sitaxentan	DB06268
Sulodexide	DB06271
Tocilizumab	DB06273
Alvimopan	DB06274
Tanomastat	DB06276
Senicapoc	DB06280
Torcetrapib	DB06281
Levocetirizine	DB06282
Ziconotide	DB06283
Teriparatide	DB06285
Temsirolimus	DB06287
Amisulpride	DB06288
Simeprevir	DB06290
Dapagliflozin	DB06292
Semuloparin_sodium	DB06294
Pramiconazole	DB06295
Glesatinib	DB06302
Otilimab	DB06303
Sonepcizumab	DB06305
Ethynylandrostanediol	DB06307
Motavizumab	DB06310
Darapladib	DB06311
Elotuzumab	DB06317
TRC105	DB06322
Methoxyamine	DB06328
Trodusquemine	DB06333
Saxagliptin	DB06335
Coltuximab_ravtansine	DB06342
Teprotumumab	DB06343
Elinogrel	DB06350
Tezampanel	DB06354
Hemangioblast	DB06355
Iclaprim	DB06358
Lucatumumab	DB06360
Sapacitabine	DB06365
Pertuzumab	DB06366
Siplizumab	DB06371
Rilonacept	DB06372
Elacestrant	DB06374
Calcitonin_gene-related_peptide	DB06379
Xaliproden	DB06393
Abafungin	DB06395
Atacicept	DB06399
Bazedoxifene	DB06401
Telavancin	DB06402
Ambrisentan	DB06403
C1-inhibitor	DB06404;DB09228
1,3-Propanedisulfonic_acid	DB06405
Idraparinux	DB06406
Taribavirin	DB06408
Morphine-6-glucuronide	DB06409
Doxercalciferol	DB06410
Oxymetholone	DB06412
Armodafinil	DB06413
Etravirine	DB06414
Calfactant	DB06415
Cethromycin	DB06419
Annamycin	DB06420
Endostatin	DB06423
Talnetant	DB06429
Tezacitabine	DB06433
Semaxanib	DB06436
Tyloxapol	DB06439
Ravuconazole	DB06440
Cangrelor	DB06441
Dexanabinol	DB06444
Dotarizine	DB06446
Lonafarnib	DB06448
Sarizotan	DB06454
Meclinertant	DB06455
Remacemide	DB06458
Squalamine	DB06461
Mitumomab	DB06462
Apolizumab	DB06467
Cariporide	DB06468
Lestaurtinib	DB06469
Chlormethiazole	DB06470
Sibrotuzumab	DB06474
Ruplizumab	DB06475
Sumanirole	DB06477
Propentofylline	DB06479
Prucalopride	DB06480
1207	DB06482
Enzastaurin	DB06486
Sufugolix	DB06494
Aplaviroc	DB06497
Repinotan	DB06506
Muraglitazar	DB06510
Deramciclane	DB06512
Resiniferatoxin	DB06515
Homotaurine	DB06527
Ocinaplon	DB06529
Resiquimod	DB06530
Pafuramidine	DB06532
Thrombopoietin	DB06534
Etilevodopa	DB06535
Tesaglitazar	DB06536
Robalzotan	DB06538
Astaxanthin	DB06543
Gavilimomab	DB06545
Minodronic_acid	DB06548
Bivatuzumab	DB06550
Gaboxadol	DB06554
Siramesine	DB06555
Lerdelimumab	DB06557
Tezosentan	DB06558
Pascolizumab	DB06560
P57	DB06569
Adipiplon	DB06579
Celgosivir	DB06580
Bevirimat	DB06581
Cetilistat	DB06586
Mitemcinal	DB06587
Pazopanib	DB06589
Ceftaroline_fosamil	DB06590
Agomelatine	DB06594
Midostaurin	DB06595
Estradiol_sulfamate	DB06597
Brostallicin	DB06598
Lexatumumab	DB06599
Nemonoxacin	DB06600
Reslizumab	DB06602
Panobinostat	DB06603
Apixaban	DB06605
Teplizumab	DB06606
Catumaxomab	DB06607
Tafenoquine	DB06608
Pegsunercept	DB06611
Mepolizumab	DB06612
Peramivir	DB06614
Bosutinib	DB06616
Cutamesine	DB06618
Amdoxovir	DB06619
Aplindore	DB06620
Flupirtine	DB06623
Taranabant	DB06624
Axitinib	DB06626
Zibotentan	DB06629
Anacetrapib	DB06630
NCT	DB06633
Casopitant	DB06634
Otamixaban	DB06635
Isavuconazole	DB06636
4-Aminopyridine	DB06637
Fispemifene	DB06640
Perifosine	DB06641
Denosumab	DB06643
Anamorelin	DB06645
Volociximab	DB06647
Ofatumumab	DB06650
Vicriviroc	DB06652
Safinamide	DB06654
Liraglutide	DB06655
Saredutant	DB06660
Abetimus	DB06662
Pasireotide	DB06663
Lixivaptan	DB06666
Odanacatib	DB06670
Almorexant	DB06673
Golimumab	DB06674
Esmirtazapine	DB06678
Asoprisnil	DB06680
Belatacept	DB06681
Naproxcinod	DB06682
Clevudine	DB06683
Vilazodone	DB06684
Laquinimod	DB06685
Sipuleucel-T	DB06688
Monoethanolamine_oleate	DB06689
Nitrous_oxide	DB06690
Mepyramine	DB06691
Aprotinin	DB06692
Mevastatin	DB06693
Xylometazoline	DB06694
Dabigatran	DB14726;DB06695
Arbekacin	DB06696
Artemether	DB06697
Betahistine	DB06698
Degarelix	DB06699
Desvenlafaxine	DB06700
Dexmethylphenidate	DB06701
Fesoterodine	DB06702
Gadobutrol	DB06703
Iobenguane	DB06704
Gadofosveset	DB06705
Isometheptene	DB06706
Levonordefrin	DB06707
Lumefantrine	DB06708
Methacholine	DB06709
Methyltestosterone	DB06710
Naphazoline	DB06711
Nilvadipine	DB06712
Norelgestromin	DB06713
Propylhexedrine	DB06714
SSKI	DB06715
Fospropofol	DB06716
Fosaprepitant	DB06717
Stanozolol	DB06718
Buserelin	DB06719
Velaglucerase_alfa	DB06720
Aluminum_hydroxide	DB06723
Calcium_carbonate	DB06724
Lornoxicam	DB06725
Bufuralol	DB06726
Sparteine	DB06727
Aniline	DB06728
Sulfaphenazole	DB06729
Gestodene	DB06730
Seproxetine	DB06731
Beta-Naphthoflavone	DB06732
Bafilomycin	DB06733
Enclomifene	DB06735
Aceclofenac	DB06736
Zaltoprofen	DB06737
Ketobemidone	DB06738
Seratrodast	DB06739
Gavestinel	DB06741
Ambroxol	DB06742
Ginsenoside_Rg1	DB06750
Drotaverine	DB06751
Chymopapain	DB06752
Triclofos	DB06753
Danaparoid	DB06754
Beta_carotene	DB06755
Trimethylglycine	DB06756
Manganese	DB06757
Fomivirsen	DB06759
Sacrosidase	DB06760
Beractant	DB06761
Pinacidil	DB06762
Saralasin	DB06763
Tetrahydrozoline	DB06764
Alcaftadine	DB06766
Ammonium_chloride	DB06767
Ammonium_lactate	DB06768
Bendamustine	DB06769
Benzyl_alcohol	DB06770
Besifloxacin	DB06771
Cabazitaxel	DB06772
Capsaicin	DB06774
Carglumic_acid	DB06775
Sodium_cellulose_phosphate	DB06776
Chenodeoxycholic_acid	DB06777
Copper(II)_sulfate	DB06778
Dalteparin_sodium	DB06779
Desoxycorticosterone_acetate	DB06780
Difluprednate	DB06781
Dimercaprol	DB06782
Prussian_blue	DB06783
Ganirelix	DB06785
Halcinonide	DB06786
Hexocyclium	DB06787
Histrelin	DB06788
Hydroxyprogesterone_caproate	DB06789
Lanreotide	DB06791
Lanthanum_carbonate	DB06792
Levopropoxyphene	DB06793
Lodoxamide	DB06794
Mafenide	DB06795
Mangafodipir	DB06796
Mebutamate	DB06797
Hexamethylenetetramine	DB06799
Methylnaltrexone	DB06800
Monoctanoin	DB06801
Nepafenac	DB06802
Niclosamide	DB06803
Nonoxynol-9	DB06804
Plerixafor	DB06809
Plicamycin	DB06810
Polidocanol	DB06811
Povidone-iodine	DB06812
Pralatrexate	DB06813
Protokylol	DB06814
Pyrithione_zinc	DB06815
Pyrvinium	DB06816
Raltegravir	DB06817
Sodium_phenylbutyrate	DB06819
Sulconazole	DB06820
Sulfametoxydiazine	DB06821
Tinzaparin	DB06822
Tiopronin	DB06823
Triethylenetetramine	DB06824
Triptorelin	DB06825
Unoprostone	DB06826
Viomycin	DB06827
Hymecromone	DB07118
Fostamatinib	DB07159;DB12010
Veliparib	DB07232
BMS-564,929	DB07286
Acifluorfen	DB07338
AEBSF	DB07347
Brefeldin_A	DB07348
Apigenin	DB07352
Anisomycin	DB07374
Azapropazone	DB07402
S-23_(drug)	DB07419
Felbinac	DB07477
Tranilast	DB07615
Dibromotyrosine	DB07637
2-Hydroxyestradiol	DB07706
Emodin	DB07715
Epibatidine	DB07720
Plexxikon	DB07724
Ferulic_acid	DB07767
Epitestosterone	DB07768
Flavones	DB07776
Farnesyl_pyrophosphate	DB07780
Fisetin	DB07795
Gibberellic_acid	DB07814
Geranylgeranyl_pyrophosphate	DB07841
Hexestrol	DB07931
Erteberel	DB07933
Indole-3-acetic_acid	DB07950
IBMX	DB07954
Wortmannin	DB08059
LGD-2226	DB08089
Fasudil	DB08162
Indane-5-sulfonamide	DB08165
Emivirine	DB08188
Myristic_acid	DB08231
Nocodazole	DB08313
Sultiame	DB08329
Gosogliptin	DB08382
2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	DB08398
Puromycin	DB08437
Parecoxib	DB08439
Efaproxiral	DB08486
Capravirine	DB08502
Triclosan	DB08604
Thiamphenicol	DB08621
Thiorphan	DB08626
Dapivirine	DB08639
2-Undecanone	DB08688
Methyl_group	DB08711
Zofenoprilat	DB08766
Diloxanide_furoate	DB08792
Ethyl_biscoumacetate	DB08794
Azidocillin	DB08795
Pipazetate	DB08796
Salicylamide	DB08797
Sulfamoxole	DB08798
Antazoline	DB08799
Chloropyramine	DB08800
Dimetindene	DB08801
Isothipendyl	DB08802
Tymazoline	DB08803
Nandrolone_decanoate	DB08804
Metiamide	DB08805
Roxatidine_acetate	DB08806
Bopindolol	DB08807
Bupranolol	DB08808
Dichloroacetic_acid	DB08809
Cinitapride	DB08810
Tofisopam	DB08811
Nadroparin	DB08813
Triflusal	DB08814
Lurasidone	DB08815
Ticagrelor	DB08816
Sodium_hyaluronate	DB08818
Tafluprost	DB08819
Ivacaftor	DB08820
Azilsartan	DB08822
Spinosad	DB08823
Ioflupane_(123I)	DB08824
Deferiprone	DB08826
Lomitapide	DB08827
Vismodegib	DB08828
Dehydroascorbic_acid	DB08830
2-Deoxy-D-glucose	DB08831
Taurochenodeoxycholic_acid	DB08833
Tauroursodeoxycholic_acid	DB08834
N-Acetylaspartylglutamic_acid	DB08835
Temocapril	DB08836
Tetraethylammonium	DB08837
Agmatine	DB08838
Serotonin	DB08839
Nicotinyl_methylamide	DB08840
Tyramine	DB08841
Acetylcarnitine	DB08842
Uric_acid	DB08844
Alpha-Ketoglutaric_acid	DB08845
Ellagic_acid	DB08846
Hydroxyproline	DB08847
Guvacine	DB08848
Nipecotic_acid	DB08849
Leukotriene_C4	DB08855
DADLE	DB08856
Pitavastatin	DB08860
DPDPE	DB08861
Cholecystokinin	DB08862
Rilpivirine	DB08864
Crizotinib	DB08865
Ulipristal_acetate	DB08867
Fingolimod	DB08868
Tesamorelin	DB08869
Brentuximab_vedotin	DB08870
Eribulin	DB08871
Gabapentin_enacarbil	DB08872
Boceprevir	DB08873
Fidaxomicin	DB08874
Cabozantinib	DB08875
Taliglucerase_alfa	DB08876
Ruxolitinib	DB08877
Aminopterin	DB08878
Belimumab	DB08879
Teriflunomide	DB08880
Vemurafenib	DB08881
Linagliptin	DB08882
Perampanel	DB08883
Gadoxetic_acid	DB08884
Aflibercept	DB08885
Ethyl_eicosapentaenoic_acid	DB08887
Ocriplasmin	DB08888
Carfilzomib	DB08889
Linaclotide	DB08890
Arbaclofen_placarbil	DB08891
Mirabegron	DB08893
Peginesatide	DB08894
Tofacitinib	DB08895
Regorafenib	DB08896
Aclidinium_bromide	DB08897
Glucarpidase	DB08898
Enzalutamide	DB08899
Teduglutide	DB08900
Ponatinib	DB08901
Raxibacumab	DB08902
Bedaquiline	DB08903
Certolizumab_pegol	DB08904
Formestane	DB08905
Fluticasone_furoate	DB08906
Canagliflozin	DB08907
Dimethyl_fumarate	DB08908
Glycerol_phenylbutyrate	DB08909
Pomalidomide	DB08910
Trametinib	DB08911
Dabrafenib	DB08912
Radium-223_chloride	DB08913
Aleglitazar	DB08915
Afatinib	DB08916
Iron_supplement	DB14489;DB08917
Levomilnacipran	DB08918
Limonene	DB08921
Perospirone	DB08922
Amfecloral	DB08924
Adrafinil	DB08925
Acediasulfone	DB08926
Amperozide	DB08927
Arsthinol	DB08928
Dolutegravir	DB08930
Riociguat	DB08931
Macitentan	DB08932
Luliconazole	DB08933
Sofosbuvir	DB08934
Obinutuzumab	DB08935
Chlorcyclizine	DB08936
TAS-102	DB08937
Magaldrate	DB08938
Letosteine	DB08939
Kebuzone	DB08940
Isoxsuprine	DB08941
Isoxicam	DB08942
Isoconazole	DB08943
Isoaminile	DB08944
Iotroxic_acid	DB08945
Iopanoic_acid	DB08946
Iopamidol	DB08947
Iodamide	DB08948
Inositol_nicotinate	DB08949
Indoramin	DB08950
Indoprofen	DB08951
Indenolol	DB08952
Indalpine	DB08953
Ifenprodil	DB08954
Ibuproxam	DB08955
Hydroxydione	DB08956
Hexoprenaline	DB08957
Hexetidine	DB08958
Hexamethonium	DB08960
Azosemide	DB08961
Glibornuride	DB08962
Gemeprost	DB08964
Fusafungine	DB08965
Fursultiamine	DB08966
Dimetotiazine	DB08967
Flurothyl	DB08969
Fluprednidene	DB08970
Fluocortolone	DB08971
Flumequine	DB08972
Fluclorolone_acetonide	DB08973
Flubendazole	DB08974
Florantyrone	DB08975
Floctafenine	DB08976
Fentonium	DB08978
Fenspiride	DB08979
Fendiline	DB08980
Fenbufen	DB08981
Etozoline	DB08982
Etofibrate	DB08983
Etofenamate	DB08984
Etilefrine	DB08985
Etifoxine	DB08986
Etidocaine	DB08987
Ethoheptazine	DB08988
Etamivan	DB08989
Eprazinone	DB08990
Epirizole	DB08991
Eperisone	DB08992
Enviomycin	DB08993
Ditazole	DB08994
Diosmin	DB08995
Dimetacrine	DB08996
Dexetimide	DB08997
Demexiptiline	DB08998
Cyclopentamine	DB08999
Cyamemazine	DB09000
Barbexaclone	DB09001
Cloperastine	DB09002
Clocapramine	DB09003
Clobutinol	DB09004
Batroxobin	DB09005
Clinofibrate	DB09006
Chlorphenoxamine	DB09007
Cephaloridine	DB09008
Articaine	DB09009
Carmofur	DB09010
Beclamide	DB09011
Carbazochrome	DB09012
Befunolol	DB09013
Captodiame	DB09014
Potassium_canrenoate	DB09015
Butriptyline	DB09016
Brotizolam	DB09017
Bromopride	DB09018
Bromhexine	DB09019
Bisacodyl	DB09020
Benzoctamine	DB09021
Benfluorex	DB09022
Benactyzine	DB09023
Aliskiren	DB09026
Ledipasvir	DB09027
Cytisine	DB09028
Secukinumab	DB09029
Vorapaxar	DB09030
Miltefosine	DB09031
Vedolizumab	DB09033
Suvorexant	DB09034
Nivolumab	DB09035
Siltuximab	DB09036
Pembrolizumab	DB09037
Empagliflozin	DB09038
Eliglustat	DB09039
Efinaconazole	DB09040
Tavaborole	DB09041
Tedizolid	DB09042
Albiglutide	DB09043
Dulaglutide	DB09045
Metreleptin	DB09046
Finafloxacin	DB09047
Netupitant	DB09048
Naloxegol	DB09049
Ceftolozane	DB09050
Elosulfase_alfa	DB09051
Blinatumomab	DB09052
Ibrutinib	DB09053
Idelalisib	DB09054
Acipimox	DB09055
Amorolfine	DB09056
Anthrax_immune_globulin	DB09057
Atosiban	DB09059
Avibactam	DB09060
Cannabidiol	DB09061
Cefminox	DB09062
Ceritinib	DB09063
Ciprofibrate	DB09064
Cobicistat	DB09065
Gonadotropin_preparations	DB09066
Corticorelin	DB09067
Vortioxetine	DB09068
Trimetazidine	DB09069
Tibolone	DB09070
Tasimelteon	DB09071
Sodium_oxybate	DB09072
Palbociclib	DB09073
Olaparib	DB09074
Edoxaban	DB09075
Umeclidinium_bromide	DB09076
Dinutuximab	DB09077
Lenvatinib	DB09078
Nintedanib	DB09079
Olodaterol	DB09080
Idebenone	DB09081
Vilanterol	DB09082
Ivabradine	DB09083
Benzydamine	DB09084
Tetracaine	DB09085
Eugenol	DB09086
Potassium_alum	DB09087
Amylocaine	DB09088
Trimebutine	DB09089
Pinaverium	DB09090
Tixocortol	DB09091
Xanthinol	DB09092
Chlortetracycline	DB09093
Podophyllin	DB09094
Diflucortolone	DB09095
Benzoyl_peroxide	DB09096
Quinagolide	DB09097
Somatrem	DB09098
Somatostatin	DB09099
Elvitegravir	DB09101
Daclatasvir	DB09102
Ancestim	DB09103
Magnesium_hydroxide	DB09104
Asfotase_alfa	DB09105
Methoxy_polyethylene_glycol-epoetin_beta	DB09107
Turoctocog_alfa	DB09109;DB14738
Coenzyme_M	DB09110
Pentastarch	DB09111
Nitrous_acid	DB09112
Poractant_alfa	DB09113
Colfosceril_palmitate	DB09114
Diiodohydroxyquinoline	DB09115
Calcium_cyanamide	DB09116
Paraldehyde	DB09117
Stiripentol	DB09118
Eslicarbazepine_acetate	DB14575;DB09119
Zucapsaicin	DB09120
Aurothioglucose	DB09121
Dienogest	DB09123
Medrogestone	DB09124
Potassium_citrate	DB09125
Human_chorionic_gonadotropin	DB09126
Brexpiprazole	DB09128
Chromium(III)_chloride	DB09129
Copper	DB09130
Gadoteric_acid	DB09132
Iotalamic_acid	DB09133
Ioversol	DB09134
Ioxilan	DB09135
Technetium_(99mTc)_mebrofenin	DB09137
Technetium_(99mTc)_medronic_acid	DB09138
Oxygen	DB09140
Protamine_sulfate	DB09141
Sincalide	DB09142
Sonidegib	DB09143
Uridine_triacetate	DB09144
Water	DB09145
Iron_sucrose	DB09146
Florbetaben_(18F)	DB09148
Florbetapir_(18F)	DB09149
Flutemetamol_(18F)	DB15058;DB09151
Nitrogen	DB09152
Sodium_chloride	DB09153
Sodium_citrate	DB09154
Helium	DB09155
Iopromide	DB09156
Carbon_dioxide	DB09157
Trypan_blue	DB09158
Technetium_(99mTc)_sestamibi	DB09161
Technetium_(99mTc)_exametazime	DB09163
Etizolam	DB09166
Dosulepin	DB09167
4-Phenylfentanyl	DB09168
3-Allylfentanyl	DB09169
Betahydroxythiofentanyl	DB09170
Beta-Methylfentanyl	DB09171
Brifentanil	DB09172
Butyrfentanyl	DB09173
Lofentanil	DB09174
Mirfentanil	DB09175
Parafluorofentanyl	DB09177
Phenaridine	DB09178
R-30490	DB09179
Thiofentanyl	DB09180
Trefentanil	DB09181
Benzylfentanyl	DB09182
Dasabuvir	DB09183
Edivoxetine	DB09184
Viloxazine	DB09185
Nisoxetine	DB09186
Lortalamine	DB09187
Amedalin	DB09188
Daledalin	DB09189
Talopram	DB09190
Talsupram	DB09191
Tandamine	DB09192
CP-39,332	DB09193
Etoperidone	DB09194
Lorpiprazole	DB09195
Lubazodone	DB09196
Mepiprazole	DB09197
Lobeglitazone	DB09198
Netoglitazone	DB09199
Rivoglitazone	DB09200
Ciglitazone	DB09201
Cirazoline	DB09202
Synephrine	DB09203
Arotinolol	DB09204
Moxisylyte	DB09205
Trimazosin	DB09206
AS-8112	DB09207
Pegloticase	DB09208
Pholcodine	DB09209
Piracetam	DB09210
Loxoprofen	DB09212
Dexibuprofen	DB09213
Dexketoprofen	DB09214
Droxicam	DB09215
Tolfenamic_acid	DB09216
Firocoxib	DB09217
Clonixin	DB09218
Bisoxatin	DB09219
Nicorandil	DB09220
Zinc_L-carnosine	DB09221
Fibrin_glue	DB09222
Blonanserin	DB09223
Melperone	DB09224
Zotepine	DB09225
RP5063	DB09226
Barnidipine	DB09227
Aranidipine	DB09229
Azelnidipine	DB09230
Benidipine	DB09231
Cilnidipine	DB09232
Darodipine	DB09234
Efonidipine	DB09235
Lacidipine	DB09236
Levamlodipine	DB09237
Manidipine	DB09238
Niguldipine	DB09239
Niludipine	DB09240
Methylthioninium_chloride	DB09241
Moxonidine	DB09242
Hydracarbazine	DB09243
Pirlindole	DB09244
Toloxatone	DB09245
Benmoxin	DB09246
Iproclozide	DB09247
Mebanazine	DB09248
Octamoxin	DB09249
Pheniprazine	DB09250
Phenoxypropazine	DB09251
Pivhydrazine	DB09252
Safrazine	DB09253
Caroxazone	DB09254
Dextran	DB09255
Tegafur	DB09256
Bemiparin_sodium	DB09258
Reviparin_sodium	DB09259
Parnaparin	DB09260
Certoparin_sodium	DB09261
Imidafenacin	DB09262
Patiromer	DB09263
Idarucizumab	DB09264
Lixisenatide	DB09265
Strontium_ranelate	DB09267
Sodium_picosulfate	DB09268
Phenylacetic_acid	DB09269
Coenzyme_Q10	DB09270
Cimetropium_bromide	DB09271
Eluxadoline	DB09272
Doxofylline	DB09273
Artesunate	DB09274
Bismuth_subcitrate	DB09275
Sodium_aurothiomalate	DB09276
Activated_charcoal_(medication)	DB09278
Fimasartan	DB09279
Lumacaftor	DB09280
Magnesium_trisilicate	DB09281
Molsidomine	DB09282
Trapidil	DB09283
Imolamine	DB09284
Morniflumate	DB09285
Pipamperone	DB09286
Polyethylene_glycol	DB09287
Propacetamol	DB09288
Tianeptine	DB09289
Ramosetron	DB09290
Rolapitant	DB09291
Sacubitril	DB09292
Iodine-131	DB09293
Ombitasvir	DB09296
Paritaprevir	DB09297
Silibinin	DB09298
Tenofovir_alafenamide	DB09299
Butylscopolamine	DB09300
Chondroitin_sulfate	DB09301
Alirocumab	DB09302
Evolocumab	DB09303
Setiptiline	DB09304
Aptazapine	DB09305
Metralindole	DB09306
Oxaprotiline	DB09307
Solithromycin	DB09308
Kitasamycin	DB09309
Catridecacog	DB09310
Polycarbophil_calcium	DB14684;DB09311
Ioxaglic_acid	DB09313
Pertechnetate	DB09314
Isotopes_of_xenon	DB09315
Thallium(I)_chloride	DB09316
Carindacillin	DB09319
Procaine_benzylpenicillin	DB09320
Zinc_oxide	DB09321
Zinc_sulfate	DB09322
Sulbactam	DB09324
Sodium_fluoride	DB09325
Nitrogen-13	DB09326
Tegafur-uracil	DB09327
Vayarin	DB09328
Osimertinib	DB09330
Daratumumab	DB09331
Kappadione	DB09332
Alatrofloxacin	DB09335
Mersalyl	DB09338
Indium_(111In)_imciromab	DB09339
Tyropanoic_acid	DB09340
Propoxycaine	DB09342
Tipiracil	DB09343
Invert_sugar	DB09344
Pramocaine	DB09345
Metrizoic_acid	DB09346
Acetrizoic_acid	DB09347
Beta-Propiolactone	DB09348
Gastric_intrinsic_factor	DB09349
Piperonyl_butoxide	DB09350
Levobetaxolol	DB09351
4-Hydroxyamphetamine	DB09352
Octasulfur	DB09353
Sulfabenzamide	DB09355
Dexpanthenol	DB09357
Procaine_merethoxylline	DB09364
Propyliodone	DB09366
Polyestradiol_phosphate	DB09369
Norethynodrel	DB09371
Tannic_acid	DB09372
Indocyanine_green	DB09374
Chymotrypsin	DB09375
Lapyrium	DB09376
Fluprednisolone	DB09378
Esterified_estrogens	DB09381
Meprednisone	DB09383
Norgestrel	DB09389
Amino_acids	DB09393
Phosphoric_acid	DB09394
