UniRef100_P31946	P31946;V9HWD6
UniRef100_B3KS82	B3KS82
UniRef100_B4DKE5	B4DKE5
UniRef100_C5H6M5	C5H6M5
UniRef100_C6GLR8	C6GLR8
UniRef100_D2KZ25	D2KZ25
UniRef100_Q8NG20	Q8NG20
UniRef100_B3KVE5	B3KVE5
UniRef100_B3KVV2	B3KVV2
UniRef100_A0A5F8AD13	B4DKB7;B4DGW6
UniRef100_B4DZ26	B4DZ26
UniRef100_B4DZE1	B4DZE1
UniRef100_B4DZH8	B4DZH8
UniRef100_V5NQY2	V5NQY2
UniRef100_A0A3Q8VP37	A0A3Q8VP37
UniRef100_A0A5A4LP48	A0A5A4LP48;A0A5A4M438
UniRef100_A0A5C2FYG0	A0A5C2FYG0
UniRef100_A0A5C2G1T7	A0A5C2G1T7
UniRef100_A0A5C2G7B3	A0A5C2G7B3
UniRef100_A0A5C2GF57	A0A5C2GF57
UniRef100_A0A5C2GI90	A0A5C2GI90
UniRef100_A0A5C2GQ70	A0A5C2GQ70
UniRef100_A0A3S5X9H4	A0A3S5X9H4
UniRef100_A0A410REX5	A0A410REX5
UniRef100_A0A411PBS5	A0A411PBS5
UniRef100_A0A2R8Y661	A0A2R8Y661
UniRef100_A0A2R8Y6I0	A0A2R8Y6I0
UniRef100_A0A2R8YFK8	A0A2R8YFK8
UniRef100_B3KP65	B3KP65
UniRef100_B3KR58	B3KR58
UniRef100_B3KTJ9	B3KTJ9
UniRef100_Q59F58	Q59F58
UniRef100_Q59HE4	Q59HE4
UniRef100_A0AV05	A0AV05
UniRef100_D9UAX4	D9UAX4;Q3LTJ4
UniRef100_D9ZHP9	D9ZHP9
UniRef100_V5W5X2	V5W5X2
UniRef100_A0A097PZ19	A0A097PZ19
UniRef100_A4ZL22	A4ZL22
UniRef100_B4DNV8	B4DNV8
UniRef100_D6C6B8	D6C6B8
UniRef100_F6IR56	K0P0H0;F6IR56
UniRef100_M9P923	M9P923;C6JSW8;G0ZMM4;C7FDU1;C7FDV0;F8R1B4;F8R8L3;F8R1B2;M9P9W1;D5M8A6;G0ZDW5;G0ZDW0
UniRef100_Q003V4	Q003V4
UniRef100_A1L172	A1L172
UniRef100_B2NJ39	B2NJ39
UniRef100_B2ZGJ0	B2ZGJ0
UniRef100_B4DK21	B4DK21
UniRef100_F6IQJ8	M9P9S0;A0A0A7C6W8;M9PAN4;I6SJ99;I6M567;M9P935;F6IQJ8;M9P9M0
UniRef100_E7CM18	E7CM18
UniRef100_Q8N9C8	Q8N9C8
UniRef100_Q9P0M0	Q9P0M0
UniRef100_A0A1B0GUL8	A0A1B0GUL8
UniRef100_A0A1B0GUM9	A0A1B0GUM9
UniRef100_O14942	O14942
UniRef100_O95284	O95284
UniRef100_Q2TU65	Q2TU65
UniRef100_Q7YP60	Q7YP60
UniRef100_Q7Z5E4	Q7Z5E4
UniRef100_Q96RP4	Q96RP4
UniRef100_F2WIB8	F2WIB8
UniRef100_V9H0D2	V9H0D2
UniRef100_V9H0G9	V9H0G9
UniRef100_B4DNA8	B4DNA8
UniRef100_D5M8H0	D5M8H0
UniRef100_Q68CX7	Q68CX7
UniRef100_Q8NC07	Q8NC07
UniRef100_A0A0B2V3F9	A0A510GJR4
UniRef100_A0A5C2G8Y5	A0A5C2G8Y5
UniRef100_A0A5C2GL32	A0A5C2GL32
UniRef100_A0A5C2GYY8	A0A5C2GYY8
UniRef100_B3KTN6	B3KTN6
UniRef100_A0A590UJC5	A0A590UJC5
UniRef100_A0A5C2FSZ4	A0A5C2FSZ4
UniRef100_A0A5C2FUT1	A0A5C2FUT1
UniRef100_A0A5C2FVF4	A0A5C2FVF4
UniRef100_A0A5C2FW26	A0A5C2FW26
UniRef100_A0A5C2FWC5	A0A5C2FWC5
UniRef100_A0A5C2FZ59	A0A5C2FZ59
UniRef100_A0A5C2FZN3	A0A5C2FZN3
UniRef100_A0A5C2FZU5	A0A5C2FZU5
UniRef100_A0A5C2G152	A0A5C2G152
UniRef100_A0A5C2G4D5	A0A5C2G4D5
UniRef100_A0A5C2G542	A0A5C2G542
UniRef100_A0A5C2G673	A0A5C2G673
UniRef100_A0A5C2G6R7	A0A5C2G6R7
UniRef100_A0A5C2G9H8	A0A5C2G9H8
UniRef100_A0A5C2GAG1	A0A5C2GAG1
UniRef100_A0A5C2GAX6	A0A5C2GAX6
UniRef100_A0A5C2GBX5	A0A5C2GBX5
UniRef100_A0A5C2GCY2	A0A5C2GCY2
UniRef100_A0A5C2GD23	A0A5C2GD23
UniRef100_A0A5C2GE95	A0A5C2GE95
UniRef100_A0A5C2GEJ3	A0A5C2GEJ3
UniRef100_A0A5C2GG74	A0A5C2GG74
UniRef100_A0A5C2GGD6	A0A5C2GGD6
UniRef100_A0A5C2GGX1	A0A5C2GGX1
UniRef100_A0A5C2GIW5	A0A5C2GIW5
UniRef100_A0A5C2GJG4	A0A5C2GJG4
UniRef100_A0A5C2GK43	A0A5C2GK43
UniRef100_A0A5C2GLW2	A0A5C2GLW2
UniRef100_A0A5C2GP65	A0A5C2GP65
UniRef100_A0A5C2GPT0	A0A5C2GPT0
UniRef100_A0A5C2GQY7	A0A5C2GQY7
UniRef100_A0A5C2GRB2	A0A5C2GRB2
UniRef100_A0A5C2GWM7	A0A5C2GWM7
UniRef100_A0A5C2FYF7	A0A5C2FYF7
UniRef100_A0A5C2G4X0	A0A5C2G4X0
UniRef100_A0A5C2G8G1	A0A5C2G8G1
UniRef100_A0A5C2GEU5	A0A5C2GEU5
UniRef100_A0A5C2GHK5	A0A5C2GHK5
UniRef100_A0A5C2GHS4	A0A5C2GHS4
UniRef100_A0A5C2GIW8	A0A5C2GIW8
UniRef100_A0A5C2GJT2	A0A5C2GJT2
UniRef100_A0A5C2GKK9	A0A5C2GKK9
UniRef100_A0A5C2GMM5	A0A5C2GMM5
UniRef100_A0A5C2GQM9	A0A5C2GQM9
UniRef100_A0A5C2GS90	A0A5C2GS90
UniRef100_A0A5C2GTM5	A0A5C2GTM5
UniRef100_A0A5C2H036	A0A5C2H036
UniRef100_A0A5C2H0A4	A0A5C2H0A4
UniRef100_A0A5C2FX91	A0A5C2FX91
UniRef100_A0A5C2FXP8	A0A5C2FXP8
UniRef100_A0A5C2G5S0	A0A5C2G5S0
UniRef100_A0A5C2GPD0	A0A5C2GPD0
UniRef100_A0A5C2GWH7	A0A5C2GWH7
UniRef100_A0A5C2GXG4	A0A5C2GXG4
UniRef100_A0A514TT08	A0A514TT08
UniRef100_A0A2U7N9F3	A0A2U7N9F3;A0A2I4PZW6
UniRef100_A0A2U8J8Q2	A0A2U8J8Q2
UniRef100_A0A343FX73	A0A343FX73
UniRef100_A0A343GG84	A0A343GG84
UniRef100_A0A343HNI2	A0A343HNI2
UniRef100_A0A343IDY9	A0A343IDY9
UniRef100_A0A343IKS5	A0A343IKS5
UniRef100_A0A343JJE7	A0A343JJE7
UniRef100_A0A343RZ02	A0A343RZ02
UniRef100_A0A346FLH5	A0A346FLH5
UniRef100_A0A061I640	A0A346JFI9;Q9UM91;A0A4D6WQ80
UniRef100_A0A375B7I6	A0A375B7I6
UniRef100_A0A386NC22	A0A386NC22
UniRef100_A0A3B3IS48	A0A3B3IS48
UniRef100_A0A3B3ISN0	A0A3B3ISN0
UniRef100_A0A3B3IT60	A0A3B3IT60
UniRef100_B4DMM2	B4DMM2
UniRef100_B4DQ37	B4DQ37
UniRef100_B4DV55	B4DV55
UniRef100_B4DV70	B4DV70
UniRef100_B4DW15	B4DW15
UniRef100_B4E2Z3	B4E2Z3
UniRef100_D5FHW8	D5FHW8;D5FHW9;H6A2D3;G0ZMH6;D5FHX0;G1ENF5
UniRef100_A0A0A7C9K2	A0A0A7C9K2
UniRef100_G1ENM7	G1ENM7;E0WN39
UniRef100_B9WPQ7	B9WPQ7
UniRef100_G1EPD4	G1EPD4
UniRef100_G1UI21	G1UI21
UniRef100_Q86TL7	Q86TL7
UniRef100_Q8IYF4	Q8IYF4
UniRef100_B7Z3K6	B7Z3K6
UniRef100_B7Z682	B7Z682
UniRef100_B7Z6B3	B7Z6B3
UniRef100_B7ZGX5	B7ZGX5
UniRef100_Q4JIW0	Q4JIW0
UniRef100_Q56UX9	Q56UX9
UniRef100_Q59FH5	Q59FH5
UniRef100_Q9H656	Q9H656
UniRef100_Q9UFZ4	Q9NPM2;Q9UFZ4
UniRef100_E0YNM1	E0YNM1
UniRef100_H2BDQ8	H2BDQ8;I6M561;G1EQK1;F2X295;E5G0X1;Q7YP26
UniRef100_H2BDT1	H2BDT1;F6KS24;F8SL09;F6KS26;F6KS25
UniRef100_H2DQF5	H2DQF5
UniRef100_B2RAL8	B2RAL8
UniRef100_B2RBE5	B2RBE5
UniRef100_B2RC72	B2RC72
UniRef100_B4DEX6	B4DEX6
UniRef100_B4DJI2	B4DJI2
UniRef100_G5D8L5	G5D8L5
UniRef100_B4DF91	B4DF91
UniRef100_F1T0B0	F1T0B0
UniRef100_F4MH27	F4MH27
UniRef100_A0A059RW63	A0A059RW63
UniRef100_A8K8T1	A8K8T1
UniRef100_B3KVP2	B3KVP2
UniRef100_B3KWI5	B3KWI5
UniRef100_B3KWX6	B3KWX6
UniRef100_B4DEC7	B4DEC7
UniRef100_B4DS70	B4DS70
UniRef100_B4DZG2	B4DZG2
UniRef100_G1EMZ2	G1EMZ2;C8XTJ3
UniRef100_A0A286LDC0	G1EP26;A0A286LDC0;D6MLK0
UniRef100_Q4G1D0	Q4G1D0
UniRef100_Q8NFL6	Q8NFL6
UniRef100_Q99482	Q99482
UniRef100_A0A590UJ09	A0A590UJ09
UniRef100_A0A590UK05	A0A590UK05
UniRef100_A0A5C2FSU7	A0A5C2FSU7
UniRef100_A0A5C2FTX0	A0A5C2FTX0
UniRef100_A0A5C2FWA9	A0A5C2FWA9
UniRef100_A0A5C2FWF1	A0A5C2FWF1
UniRef100_A0A5C2FXJ9	A0A5C2FXJ9
UniRef100_A0A5C2FZP6	A0A5C2FZP6
UniRef100_A0A5C2FZV8	A0A5C2FZV8
UniRef100_A0A5C2G1E3	A0A5C2G1E3
UniRef100_A0A5C2G2Z7	A0A5C2G2Z7
UniRef100_A0A5C2G4T9	A0A5C2G4T9
UniRef100_A0A5C2G6V7	A0A5C2G6V7
UniRef100_A0A5C2G719	A0A5C2G719
UniRef100_A0A5C2GAU6	A0A5C2GAU6
UniRef100_A0A5C2GC87	A0A5C2GC87
UniRef100_A0A5C2GEW0	A0A5C2GEW0
UniRef100_A0A5C2GI01	A0A5C2GI01
UniRef100_A0A5C2GIH9	A0A5C2GIH9
UniRef100_A0A5C2GLQ2	A0A5C2GLQ2
UniRef100_A0A5C2GLU1	A0A5C2GLU1
UniRef100_A0A5C2GP64	A0A5C2GP64
UniRef100_A0A5C2GPN6	A0A5C2GPN6
UniRef100_A0A5C2GR51	A0A5C2GR51
UniRef100_A0A5C2GRC0	A0A5C2GRC0
UniRef100_A0A5C2GRH8	A0A5C2GRH8
UniRef100_A0A5C2GS67	A0A5C2GS67
UniRef100_A0A5C2GUN7	A0A5C2GUN7
UniRef100_A0A5C2GUR6	A0A5C2GUR6
UniRef100_A0A5C2GV05	A0A5C2GV05
UniRef100_A0A5C2GVA8	A0A5C2GVA8
UniRef100_A0A5C2GX83	A0A5C2GX83
UniRef100_A0A5C2GY79	A0A5C2GY79
UniRef100_A0A0U1RQI3	A0A0U1RQI3
UniRef100_A0A0U1RRK2	A0A0U1RRK2
UniRef100_A0A0E3DBZ6	A0A0E3DBZ6;A0A0A7C6T4;A0A0A7C8Q3;A0A0G2R0P6
UniRef100_A0A0J9YWM3	A0A0J9YWM3
UniRef100_A0A140VJV4	A0A140VJV4
UniRef100_A0A0G2JMH0	A0A0G2JMH0
UniRef100_A0A0U1RRH4	A0A0U1RRH4;A0A1B0GVS0
UniRef100_A0A0G2R1Q1	A0A0G2R1Q1
UniRef100_A0A0G3EM61	A0A0G3EM61
UniRef100_A8K6R5	A8K6R5
UniRef100_F6IR27	F6IR27
UniRef100_Q53HG7	Q53HG7
UniRef100_P78470	P78471;P78470
UniRef100_Q8WMB7	Q8WMB7;Q9GIN1;A0A583ZB94
UniRef100_Q9H5I0	Q9H5I0
UniRef100_Q9Y4Z8	Q9Y4Z8
UniRef100_L5LM11	V9H0B8;V9H065
UniRef100_X5D2G8	X5D2G8
UniRef100_E5G0Z4	E5G0Z4;F2X5V2
UniRef100_H9RZB5	H9RZB5
UniRef100_H9SEK7	H9SEK7
UniRef100_A1YEV9	Q8N506
UniRef100_A0A2K5EIV7	Q9UKR4;Q6LBS1
UniRef100_V9H0F8	V9H0F8
UniRef100_V9H0G6	V9H0G6
UniRef100_D1G110	D1G110;I6M549;I6M552;I6NS34;R4I4E1;I6MHI5
UniRef100_L0BXV6	L0BXV6
UniRef100_Q2VPA3	Q2VPA3
UniRef100_Q6FGR8	Q6FGR8
UniRef100_Q6NSD7	Q6NSD7
UniRef100_A9XA95	A9XA95
UniRef100_E9ABI2	D3U697;E9ABI2
UniRef100_L7PG52	L7PG52;E0YTK2;E2D5Q9;I3QHR9;G1EPT8
UniRef100_Q5BKZ2	Q5BKZ2
UniRef100_Q6LAF9	Q6LAF9
UniRef100_Q6MZF7	Q6MZF7
UniRef100_Q6PJ54	Q6PJ54
UniRef100_A0A0F7NJH7	A0A0F7NJH7
UniRef100_L0EQQ9	L0EQQ9
UniRef100_Q14006	Q14006
UniRef100_Q6ZP50	Q6ZP50
UniRef100_A0A077JIU5	A0A077JIU5
UniRef100_Q6ZP04	Q6ZP04
UniRef100_Q6ZRX0	Q6ZRX0
UniRef100_Q6ZSP8	Q6ZSP8
UniRef100_Q6ZUK5	Q6ZUK5
UniRef100_Q71QC8	Q71QC8
UniRef100_P31786	Q71U42
UniRef100_A0A059RHG6	A0A059RHG6
UniRef100_A0A059RTM3	A0A059RTM3
UniRef100_A1X284	A1X284
UniRef100_B7XH61	B7XH61
UniRef100_B7Z8P9	B7Z8P9
UniRef100_L8EAH0	L8EAH0
UniRef100_D9ZHQ2	D9ZHQ2
UniRef100_G8GIF0	G8GIF0;Q8HWN6
UniRef100_B5BU30	B5BU30
UniRef100_N1NUT7	N1NUT7
UniRef100_Q679L6	Q679L6
UniRef100_A1YRJ5	A1YRJ5
UniRef100_B2CB39	B2CB39
UniRef100_B2MXE3	B2MXE3
UniRef100_B4DNB2	B4DNB2
UniRef100_B4DNK6	B4DNK6
UniRef100_B4E0A0	B4E0A0
UniRef100_B5BU82	B5BU82
UniRef100_F6KPP2	F6KPP2;Q5QQ08
UniRef100_G8YY12	G8YY12
UniRef100_Q29ZN7	Q29ZN7
UniRef100_X5MPH2	X5MPH2
UniRef100_V5NQC2	G3CC15;V5NQC2
UniRef100_G9HRM2	G9HRM2;D5FHX9;A0A2P1E963
UniRef100_K7XHC4	K7XHC4
UniRef100_M9PAC7	M9PAC7
UniRef100_N0A0J7	N0A0J7;F2X5X8
UniRef100_X5BEG4	X5BEG4
UniRef100_X5MI18	X5MI18
UniRef100_A0A1B0GTN0	A0A1B0GTN0
UniRef100_A0A1B0GUT0	A0A1B0GUT0
UniRef100_A0A1B0GUW4	A0A1B0GUW4
UniRef100_A4D1X3	A4D1X3
UniRef100_D4P2Y0	D4P2Y0;D4P2X9
UniRef100_O43460	O43460
UniRef100_A0A0S4T3N9	D6MJI3;A0A0S4T3N9;A0A0A7C4P2
UniRef100_F2X5Y5	F2X5Y5
UniRef100_F6PHT9	B4DGL5
UniRef100_B4DMS5	B4DMS5
UniRef100_H9E7L4	H9E7L4
UniRef100_H9LHT0	H9LHT0
UniRef100_B4DNN8	B4DNN8
UniRef100_K7DH80	B4DPC0
UniRef100_B4E1M3	B4E1M3
UniRef100_D9UAZ3	D9UAZ3;D9UAZ8
UniRef100_V5J3L2	V5J3L2
UniRef100_B3KPC1	B3KPC1
UniRef100_B3KT76	B3KT76
UniRef100_B3KU23	B3KU23
UniRef100_B3KW26	B3KW26
UniRef100_B4DFE2	B4DFE2
UniRef100_B4E3Q3	B4E3Q3
UniRef100_E1U681	E1U681;G3D6J8
UniRef100_Q4GFE9	Q4GFE9
UniRef100_Q59F07	Q59F07
UniRef100_A0A0M4L8K3	A0A0M4L8K3
UniRef100_A0A0S2Z349	A0A0S2Z349
UniRef100_P52333-4	A0A0S2Z485
UniRef100_A0A0S4T183	A0A0S4T183;M9P9R3
UniRef100_A0A0S4T1J0	A0A0S4T1J0
UniRef100_A0A0S4XQV7	A0A0S4XQV7
UniRef100_A0A0N7A4T6	A0A0N7A4T6
UniRef100_A0A0N7A613	A0A0N7A613
UniRef100_A0A0N7A621	A0A0N7A621
UniRef100_A0A0N7G7C9	A0A0N7G7C9
UniRef100_A0A0K2GUN1	A0A0K2GUN1
UniRef100_A0A0N7A545	A0A0N7A545;A0A0N7A4Q3
UniRef100_A0A0X9V9B3	A0A0X9V9B3
UniRef100_C5J8E7	C5J8E7;E5D6L8;C6GZ76;I7KP34;Q29690;Q9BD27;Q29905
UniRef100_L8E9W3	L8E9W3
UniRef100_L8ECG2	L8ECG2
UniRef100_B6VA01	B6VA01
UniRef100_Q1XG28	Q1XG28
UniRef100_Q45V77	Q45V77
UniRef100_Q8TAG3	Q8TAG3
UniRef100_Q8WYU9	Q8WYU9
UniRef100_Q96C65	Q96C65
UniRef100_L8E8W9	L8E8W9
UniRef100_Q58HK1	Q58HK1
UniRef100_U5LPP2	U5LPP2
UniRef100_U6BN61	U6BN61
UniRef100_L8E9H2	L8E9H2
UniRef100_Q32WD0	Q32WD0
UniRef100_Q6QBN4	Q6QBN4
UniRef100_Q6RAS1	Q6RAS1
UniRef100_L0R6V3	L0R6V3
UniRef100_A0PJB1	A0PJB1
UniRef100_A0ZY50	A0ZY50
UniRef100_B2R5U4	B2R5U4
UniRef100_Q02548-4	C0KTE7
UniRef100_F1T0J0	F1T0J0
UniRef100_S6BGE0	S6BGE0
UniRef100_A0A110BIP9	A0A110BIP9
UniRef100_S5LJ04	S5LJ04
UniRef100_A2TDT1	A2TDT1
UniRef100_B7Z4M6	B7Z4M6
UniRef100_B9EIN5	B9EIN5
UniRef100_B9EIS4	B9EIS4
UniRef100_C9E0F0	C9E0F0
UniRef100_G1EQ86	G1EQ86;M4YRG4;M9P912
UniRef100_K4NRQ4	K4NRQ4
UniRef100_Q7Z2S2	Q7Z2S2
UniRef100_Q7Z3V9	Q7Z3V9
UniRef100_Q7Z5C4	Q7Z5C4
UniRef100_Q86TX6	Q86TX6
UniRef100_G0ZL81	G0ZL81
UniRef100_G1EPX0	G1EPX0
UniRef100_G1EQD0	G1EQD0;A0A288R0T9
UniRef100_A0A0A7C6C1	A0A0A7C6C1
UniRef100_A0A0A7C987	A0A0A7C987;A0A0D5CCD8
UniRef100_E0WBY7	E0WBY7;D7NQT4;C0M137
UniRef100_E0Z3H2	E0Z3H2
UniRef100_A0A2J8XSJ5	Q9UNR4;Q9UNS6
UniRef100_F1AQS4	F1AQS4
UniRef100_F1CCN8	F1CCN8;F1CCP4;H6A2E2;C9WEV6
UniRef100_C7SJV2	C7SJV2
UniRef100_G9G6R5	G9G6R5
UniRef100_G9HW27	G9HW27;A0A0A7C735;D5FHI8
UniRef100_G9I2K3	G9I2K3
UniRef100_G9LFQ5	G9LFQ5
UniRef100_A0A023I845	A0A023I845
UniRef100_A0A059RMZ2	A0A059RMZ2
UniRef100_A0A186VMW9	A0A186VMW9
UniRef100_A8K0V7	A8K0V7
UniRef100_A8K8X5	A8K8X5
UniRef100_B6ZLV2	B6ZLV2
UniRef100_F6IQN3	F6IQN3;S5DN81
UniRef100_F6IQP5	F6IQP5;S5DU27
UniRef100_Q53EV8	Q53EV8
UniRef100_Q53T75	Q53T75
UniRef100_X5D7V3	X5D7V3
UniRef100_C6GLU4	C6GLU4
UniRef100_D3GKD8	D3GKD8
UniRef100_D3HIE9	D3HIE9
UniRef100_D7NSP9	D7NSP9
UniRef100_D9J2M4	D9J2M4
UniRef100_D9UB09	D9UB09
UniRef100_E2I6F4	E2I6F4
UniRef100_E3SG91	E3SG91
UniRef100_Q8TD81	Q8TD81
UniRef100_V5LM42	V5LM42
UniRef100_V5NPM6	V5NPM6
UniRef100_D7GM40	D7GM40
UniRef100_Q05DN2	Q05DN2
UniRef100_Q93000	Q93000
UniRef100_B2DG29	B2DG29
UniRef100_B4XZE3	B4XZE3
UniRef100_X5CEX8	X5CEX8
UniRef100_B4DFN7	B4DFN7
UniRef100_B4DIE5	B4DIE5
UniRef100_B4DYA1	B4DYA1
UniRef100_G9HRQ1	G9HRQ1
UniRef100_W8FP49	W8FP49
UniRef100_A0A1B0GW17	A0A1B0GW17
UniRef100_A0A1B0GW78	A0A1B0GW78
UniRef100_A0A1B0GWD1	A0A1B0GWD1
UniRef100_A0N9R9	A0N9R9
UniRef100_A5XEI1	A5XEI1
UniRef100_C4P0A4	C4P0A4
UniRef100_A4D0Q4	A4D0Q4
UniRef100_Q9TNU1	Q9TNU1
UniRef100_A0A186VN24	A0A186VN24
UniRef100_H9E7T1	H9E7T1
UniRef100_Q502Y3	Q502Y3
UniRef100_Q8TDV3	Q8TDV3
UniRef100_B3KPJ1	B3KPJ1
UniRef100_B4DFS5	B4DFS5
UniRef100_B4DHT3	B4DHT3
UniRef100_B4DP50	B4DP50
UniRef100_B4DPS3	B4DPS3
UniRef100_B4DW32	B4DW32
UniRef100_B4E0Z0	B4E0Z0
UniRef100_B4E1F1	B4E1F1
UniRef100_A0A2R4QL71	D6MLD9;C5IZZ7;A0A2R4QL71;B8ZYV9;E3SWK3;C5IZU9;Q0ZAW8;E3SGC7
UniRef100_A0A0G2JPR0	A0A0G2JPR0
UniRef100_A0A140TA32	A0A140TA32
UniRef100_A0A1C3PHI3	A0A1C3PHI3
UniRef100_A0A0E3DIX1	A0A0E3DIX1
UniRef100_A0A0U1RQD2	A0A0U1RQD2
UniRef100_A0A140VKH5	A0A140VKH5
UniRef100_A0A0G2JR74	A0A0G2JR74
UniRef100_Q6ISS4-2	A0A0G2JMB1
UniRef100_A0A0G2R1J3	A0A0G2R1J3
UniRef100_A0A0S2Z3J3	A0A0S2Z3J3
UniRef100_A0A0S2Z3N8	A0A0S2Z3N8
UniRef100_A0A0S2Z3M0	A0A0S2Z3M0
UniRef100_A0A126GWP0	A0A126GWP0
UniRef100_W0G8H1	W0G8H1
UniRef100_A2N0T7	A2N0T7
UniRef100_C1KBJ3	C1KBJ3
UniRef100_A0A4Y7LMZ8	D7NNX6;Q2LE77;D7NNX3;A0A4Y7LMZ8;D7NQY1;D7NNX2
UniRef100_G3C9V4	G3C9V4
UniRef100_I0CKF7	I0CKF7
UniRef100_A0A191XZP0	M1FXV1;E3SWI7;A0A0K0KR40;A0A191XZP0;A0A1X9I4V2;G0ZDT5
UniRef100_Q8WXR2	Q8WXR2
UniRef100_A0A346HG02	D1MEQ9;H7CI03;A0A346HG02;O19787;A0A583ZBG8;I6QNF2;A0A583ZBE4;D1MYV9
UniRef100_D2CTA8	D2CTA8;D2CTA9
UniRef100_D3VVK1	D3VVK1
UniRef100_Q6NUM3	Q6NUM3
UniRef100_A9UEZ8	A9UEZ8
UniRef100_D3VVB8	D3VVI1;D3VVB8
UniRef100_A0A583ZAY5	L7PEX4;F2X5Y4;A0A583ZAY5
UniRef100_L5LXX7	Q6LCI0
UniRef100_A0A059RNF5	A0A059RNF5
UniRef100_A0A090KKF6	A0A0A7C7Z5;V5NQU7;F6IQJ3;F6IQJ4;A0A0A7C929;F6IQJ1;F6IQI3;V5N2I6;A0A090KKF6;S5DI19;F6IQH4;U5TRL0;F6IQJ2;F6IQH5;F6IQH2
UniRef100_S7NJJ7	A0A0B5EEB2
UniRef100_A0A2I8B351	K7P5F5;A0A2I8B351;A0A0A7C5H3;A0A068B2K9
UniRef100_O60213	O60213
UniRef100_Q3Y9M1	Q3Y9M1
UniRef100_Q6IVK0	Q6IVK0
UniRef100_Q6ZP06	Q6ZP06
UniRef100_Q6ZP86	Q6ZP86
UniRef100_Q71RF0	Q71RF0
UniRef100_L9L7E6	Q71VG1;Q71VG2;Q71VG0
UniRef100_A0A0A0YKL2	A0A0A0YKL2
UniRef100_A0A223FL07	K7P4Y6;A0A223FL07
UniRef100_K7P605	K7P605;F2VP91;E2GF00
UniRef100_Q712H5	Q712H5
UniRef100_A0A059RRZ0	A0A059RRZ0
UniRef100_B9TX07	B9TX07
UniRef100_D2KI91	D2KI91
UniRef100_Q4W5A5	Q4W5A5
UniRef100_A0A068LRV5	A0A068LRV5
UniRef100_L8E8V0	L8E8V0
UniRef100_L8EA53	L8EA53
UniRef100_L8EAK0	L8EAK0
UniRef100_L8ECP6	L8ECP6
UniRef100_O00350	O00350
UniRef100_Q9UL93	Q9UL93
UniRef100_B7Z4B7	B7Z4B7
UniRef100_B8Y6Z5	B8Y6Z5
UniRef100_G1EQ96	G1EQ96
UniRef100_Q7L9G8	Q7L9G8
UniRef100_Q7Z2W0	Q7Z2W0
UniRef100_Q7Z5Z5	Q7Z5Z5
UniRef100_A0A0A7CAM9	A0A0A7CAM9
UniRef100_B7Z5C6	B7Z5C6
UniRef100_B7Z6B7	B7Z6B7
UniRef100_E0WMY8	E0WMY8
UniRef100_G0WVB2	G0WVB2
UniRef100_G0Z8C5	G0Z8C5;M1F5P7;G0KXG5;D3U3X5;D3U3M2;C9WEP1
UniRef100_G1ENG8	G1ENG8
UniRef100_Q6IB93	Q6IB93
UniRef100_Q8WXD6	Q8WXD6
UniRef100_B2R758	B2R758
UniRef100_B2RWN8	B2RWN8
UniRef100_F4MHH1	F4MHH1
UniRef100_F4MHA3	F4MHA3
UniRef100_G9HW83	G9HW83;F2VNK1;F8R1A6;E0YTK8;D6C523;C7FDQ6;F8R157
UniRef100_U3LQZ1	U3LQZ1
UniRef100_X2L7S8	X2L7S8
UniRef100_A0A3Q8TK85	A0A180H6A8;A0A3Q8TK85
UniRef100_E2D5P7	E2D5P7;G9I2K4;L0BXI1;G1EQ07;F8RHF6;G1EQ01
UniRef100_H6A2D7	H6A2D7
UniRef100_B1Q4X2	Q95HD8;B1Q4X2
UniRef100_S6FW08	S6FW08
UniRef100_X5CT71	X5CT71
UniRef100_A8K3H0	A8K3H0
UniRef100_A8K6U2	A8K6U2
UniRef100_A8K7G2	A8K7G2
UniRef100_A8K8N3	A8K8N3
UniRef100_E2GJH8	E2GJH8;D3U756;E0YTN5
UniRef100_E3SWI9	E3SWI9;G0Z8C6;G0KXG1
UniRef100_E3SWJ4	E3SWJ4
UniRef100_A0A1W1B5E0	I3QHS3;Q9MY82;A0A1W1B5E0;D6PZZ9
UniRef100_I6SJ79	I6SJ79;K4NPJ3
UniRef100_Q53FA1	Q53FA1
UniRef100_Q53G89	Q53G89
UniRef100_Q53HS1	Q53HS1
UniRef100_P56282-2	Q86SY9
UniRef100_D7NP69	D7NP69
UniRef100_Q6F3D8	Q6F3D8
UniRef100_Q8WVJ0	Q8WVJ0
UniRef100_A0A1L3A5T2	A0A1L3A5T2
UniRef100_A0A126GVA2	A0A126GVA2
UniRef100_A0A1X9I544	A0A1X9I544;A0A1S5QR56
UniRef100_A0A1X9I5N9	A0A1X9I5N9;A0A288Q9I4;A0A288QYR1;A0A2H4G0H0;A0A2H4G2T6;A0A2H4G4A9;A0A1X9I5D7;A0A2H4FZV9;A0A2H4FZV6;A0A1X9I527
UniRef100_A0A0N7A484	A0A0N7A484;A0A0N7A4P7
UniRef100_A0A125R6G5	A0A0N7A4F6;A0A125R6G5
UniRef100_A0A0N7A4P1	A0A0N7A4P1
UniRef100_A0A0K1RN68	A0A0K1RN68
UniRef100_A0A0M3HER8	A0A0M3HER8
UniRef100_A0A140T9B8	A0A140T9B8
UniRef100_A0A140T9X0	A0A140T9X0;A0A140T907
UniRef100_I2B306	I2B306
