K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K04432	P46734;Q6FI23
K04430	P45985
K04463	Q13163;A0A024R5Y2
K04433	P52564;A8K3Y2
K04431	O14733
K22138	P0DKB6;Q9Y5U8
K22139	O95563;A0A024R8Z5
K15102	Q00325;A0A024RBH9;Q6MZF9
K06095	O75970
K12593	Q99547
K06645	P30304
K05866	P30305;B3KS38;Q6MZW8
K05867	P30307
K01809	P34949
K14559	O00566
K21109	Q96JB8
K06091	Q8N3R9;Q658X5
K21871	Q99549
K16775	Q99550
K01412	Q10713
K17732	O75439;B3KM34;Q96CP5
K23362	Q53F39
K10089	P20645
K23792	Q6WCQ1
K06564	P11717
K09660	O75352;A0A0S2Z4W8
K06770	O95297;P25189;A8K5D4
K22398	Q8TCY5
K06560	P22897;Q9UBG0;Q13018
K16307	Q5VT25;Q9Y5S2;Q6DT37;A0A024R6N2;Q86XZ8
K10865	P49959;A0A024R395
K11343	Q9NV56
K08392	Q8TDS7
K08393	Q86SM8;W4VSQ4
K08394	Q96AM1;A0A024R5F0
K08395	Q86SM5
K08396	Q96LB2;Q96LB1;Q96LB0;Q96LA9;W8W3P5
K15507	Q6IN84
K02427	Q9UI43;V9HWJ9
K20095	Q9HC36
K05665	P33527
K05666	Q92887
K05667	O15438
K05673	O15439;A8K2Q2
K05668	O15440
K05669	O95255
K05674	Q5T3U5;A0A024RD21
K05672	Q96J65
K17655	O15091
K13536	P49006
K16075	Q9HD23
K14815	Q9UKD2;A0A024RAE1
K22525	Q969V6;Q9ULH7;A4FUJ8
K12337	Q9Y6F6
K11564	Q9NYP9
K11565	O43482;A0A024R9N0
K18403	Q8N5Y2
K09077	A6NI15
K08735	P43246
K08736	P20585
K08740	O15457
K08741	O43196;A0A024RCM1
K08737	P52701;Q3SWU9
K04199	Q01726;Q1JUL4
K13163	Q68DK7;B3KWR7
K13164	Q9HCI7
K20733	Q13421
K07750	Q15800
K07304	Q9UJ68
K07305	Q9NZV6;Q9Y3D2;Q8IXL7
K06558	P21757
K19952	P47224;Q53EV1
K17656	Q4VC12
K09341	P28360;P35548
K21804	Q8WXB1
K21805	Q5VZV1
K21806	Q9H867
K14740	P25713;A0A024R6R7
K14741	P47944
K11660	Q13330;O94776;Q9BTC8;A0A024R534;Q9BRL8
K10430	P11137;Q6NYC5
K00772	Q13126;A0A384ME80
K17885	Q9NZJ7;Q9Y6C9;A8YXX5;A0A024RCX4
K16837	P56278
K13403	Q9H903;P13995
K15031	Q99551;Q49AM1;A0A024RBL7
K15032	Q96E29;Q7Z6M4
K23317	Q14872
K11485	Q9Y483;Q7Z534
K17981	Q9UDX5;A0A024R1E4
K22752	O75081
K19828	Q9BT17
K03979	Q9H4K7
K22751	O43439
K10053	Q06455
K01934	P49914;A0A0A6YYL1
K00297	P42898;Q8IU67;Q59GJ6
K05266	O43193
K01108	Q13496;A0A024RC06
K18081	Q13613;Q13614;Q8NEC6
K18082	Q13615;Q9NYA4
K18061	O95248;Q86WG5
K18083	Q9Y217;Q9Y216;Q96EF0;B7ZAG8;B7Z9Q7
K18084	Q96QG7
K18085	Q9NXD2;A4FU01;Q9C0I1;X5D963
K18086	Q8NCE2
K08963	Q9BV20
K08964	Q96GX9
K08967	Q9BV57
K03495	Q9Y2Z2
K07203	P42345
K14463	P55157
K04285	P48039
K04286	P49286
K04287	Q13585
K12598	P42285;Q3MHC9
K00597	Q9UBK8
K20128	O43312;Q765P7
K21027	O75648
K17776	Q13505;O75431;Q5HYI7
K22018	Q9UKN1
K17298	Q9H3R2
K22019	Q8N387
K16145	Q8WXI7;B3KY81
K22016	Q685J3;Q02505;Q9H3Q6
K06534	P43121;A0A024R3I5
K22020	Q7Z5P9
K06568	P15941;A0A087X2A4
K22021	Q8N307
K22022	Q5SSG8
K06546	Q04900
K22017	Q99102;A0T3F4
K21125	P98088
K13908	Q9HC84
K22023	Q6W4X9
K13909	Q8TAX7
K16664	Q9ULC0;Q4W5J1
K15688	Q969V5
K08991	Q96NY9;Q53ES5
K09072	O60682
K05129	O15146
K01847	P22033;A0A024RD82;B2R6K1
K03575	Q9UIF7;E5KP26
K01597	P53602
K17266	Q14764;X5D2M8
K14754	P20591
K10361	Q96JP2;Q9UKN7;Q9H614
K10362	Q92614;Q8IUG5
K09421	P10243
K21769	P10244
K09420	P10242;Q708E9
K10693	O75592
K22526	Q8IZQ8
K09110	P12524
K09109	P04198
K08150	Q96QE2
K04377	P01106
K04729	Q99836;A0A0A0MS70
K18484	P13349
K18485	P23409
K21892	P02144;A0A1K0FU49
K10352	P35580;P35749;Q9UKX3;Q7Z406;Q9Y2K3;P12882;Q9UKX2;P11055;Q9Y623;A7E2Y1;P13535;P35579;A0A024QZJ4;A0A024R1N1;Q5GJ67
K17751	P13533;P12883
K12756	Q9BUA6
K05738	P05976
K12749	P08590;A0A024R2Q5
K12750	P12829
K12753	Q02045
K12751	P14649;P60660;A0A024RB31
K12755	P24844;A0A384NY64
K10637	Q8WY64
K00907	Q9H1R3;Q32MK0;Q86YV6;Q15746
K12559	Q9HD67
K17481	Q9Y6X6
K10356	Q9UBC5;O43795;O00159;O94832;Q12965;O00160;B0I1T2;Q4KMR3;B0I1S9;B4DNW6;Q4LE34;B2R643;Q8N618
K08834	Q8NEV4;Q8WXR4;B7ZM71
K10357	Q9Y4I1;Q9ULV0;Q9NQX4;Q7Z7A5;Q9UES4
K10358	Q9UM54
K10359	Q13402
K21868	Q6PIF6
K10360	B2RTY4;Q13459;Q8WVD2;B0I1T6
K23027	Q99972;A0A0S2Z421
K09064	P15172
K22125	Q9NZM1
K18483	P15173
K16549	Q5VU43
K19875	Q9UBF9;A0A0C4DFM5
K12557	Q00872;A8KAB1;Q86TA8
K12558	Q14324;A0A140VJQ0
K12568	Q14896;A5YM48
K22028	Q86TC9
K17271	P60201;A8K9L3
K06270	O14974;B2RAH5
K12329	O60237
K22237	Q8NFW9
K11865	Q5VVJ2
K23193	Q9UL68
K23192	Q01538
K22031	P0CAP1;A0A024R5W4
K09221	P28698;A0A024R4T5
K18633	Q08AG7
K16574	Q6P582;Q6NZ67
K15720	Q86UW6;B2ZZ87
K19589	Q9Y5N5
K20791	P41227;Q9BSU3
K20792	Q9BXJ9;Q6N069;A4FU51;B2RBE5
K17972	P61599
K17973	Q14CX7
K00670	Q147X3;B3KS28
K20823	Q5VZE5;A8K874
K20794	Q86UY6;A0A024R5C6
K20793	Q9GZZ1
K21121	Q9H7X0;A0A384NYU5
K13720	Q02083
K22388	Q13506;Q15742;A8K8T1
K05849	P32418;Q9UPR5;P57103
K03626	Q13765;A0A024RB41
K10486	Q96RE7;Q96BF6;A0A024R7E0;A0A024R8I0
K00767	Q15274;V9HWJ5;B4DDH4
K01950	Q6IA69
K00858	O95544;Q4G0N4;A0A024R058;Q6PJ22
K01301	Q58DX5;Q9Y3Q0;Q9UQQ1
K14763	Q96HR8
K01204	P17050;A0A024R1Q5
K01443	Q9Y303
K00884	Q9UJ70;A0A384N6G7
K01125	Q9UK23
K11067	Q8N159
K23221	Q69YI7;A0A024R887
K22266	Q86W26
K22664	P59045
K20865	P59046
K22665	Q86W25
K22666	Q86W24
K21863	Q8IZF0;A0A024RE05
K19409	Q9NX02
K22265	Q96MN2;B2RCA1
K22626	P59047
K20864	Q8WX94
K22662	Q86W28
K03462	P43490;A0A024R718
K18741	Q8WY41
K18760	P60321
K18761	P60323
K10164	Q9H9S0;A8K4D1
K01097	Q8TBE9
K13985	Q6IQ20
K08565	O96009
K06716	P52961
K00775	Q13508
K06717	Q93070
K19977	Q96L15
K11291	P49321
K14521	Q9H0A0
K20838	Q9UHF3;Q9UHE5
K18309	Q8N9F0
K06975	Q8N6N6
K16776	Q8NEY1
K19483	Q8IVL1;A7E2D6
K00326	Q9UHQ9;Q6BCY4;P00387;Q7L1T6;Q6IPT4;A8K237
K20473	A2RRP1;G1UI26
K23286	Q6ZS30;Q6ZNJ1
K19558	P41271
K10867	O60934
K17987	Q14596;A0A024R1V3
K21752	Q14919
K21751	Q01658;Q658N3
K19695	P61601;B2RB70
K06491	P13591;O15394
K06794	O14594;A0A024R7M3;Q4LE67
K12882	Q09161;A0A024R179
K12883	P52298
K14349	Q6PIU2;A0A0R4J2G3
K08011	P14598
K08010	P19878;A0A0S2Z457
K08012	Q15080
K06758	O00533
K07365	P16333;A0A0S2Z4Y3
K19862	O43639;A0A0S2Z4M6
K05750	Q9Y2A7;P55160
K13749	O60721
K13750	Q9UI40
K13751	Q9HC58
K13752	Q8NFF2
K13753	Q71RS6
K13754	Q6J4K2
K09101	Q15788
K11255	Q15596
K11256	Q9Y6Q9
K09289	Q13772;A0A024QZI5;Q96E88
K14971	Q14686
K04650	O75376;A0A024RD47
K06065	Q9Y618
K00327	P16435
K19932	P62166;A0A024R8B2
K06741	O76036;A0A0A0MQZ0
K06742	O95944
K06743	O14931
K14315	Q9BTX1
K11547	O14777;A8K031
K16738	Q9NXR1;X5DR54
K16739	Q9GZM8
K08033	Q13562
K09078	Q15784
K09079	Q9HD90;Q8IW56
K09080	Q96NK8;A0A090N7T3
K00940	Q13232;O75414;Q9Y5B8;P15531;P22392;O00746;Q6FHN3;A0A384MTW7
K20790	P56597;A0A0S2Z4L9
K18266	Q92597
K02576	P52848;A8K8T3
K02577	P52849;B4E139
K02578	O95803
K02579	Q9H3R1;A8K0V5
K03945	O15239;Q6IBB5
K03946	O43678
K03947	O95167;Q6FGG4
K03948	O00483;Q9NRX3;A0A024RB39;A0A024R9Z0
K03949	Q16718
K03950	P56556;A0A2Y9D025
K03951	O95182
K03952	P51970
K03953	Q16795
K03954	O95299
K03956	Q86Y39
K11352	Q9UI09
K11353	Q9P0J0
K03957	O75438
K03958	O95178;A4D1T5
K03959	O43676;A0A024R413
K03960	O95168
K03961	O43674
K03962	O95139
K03963	P17568
K03964	O95169
K03965	Q9Y6M9
K03966	O96000;A8K761
K11351	Q9NX14
K03967	O43677
K03968	O95298;E9PQ53;A0A024R5K6
K18160	Q8N183;A0A0S2Z5U1
K09008	Q9BU61;Q9Y3Z0
K18161	Q9P032
K18162	Q5TEU4
K18163	Q330K2
K18164	Q7L592
K03934	P28331;E5KRK5
K03935	O75306
K03936	O75489
K03937	O43181;A0A0S2Z433
K03938	O43920;Q6IBA0
K03939	O75380;Q6IBC4
K03940	O75251;Q7LD69
K03941	O00217
K03942	P49821;E5KNH5
K03943	P19404
K03944	P56181
K17551	Q9ULJ8;Q96SB3
K18267	P20929;Q96MF8;Q05C45
K01359	P29120
K01360	P16519
K23854	Q8N987;Q7Z6G3;Q96P71
K19482	Q99608;X5D982
K20069	Q8NC96;Q9NVZ3
K06081	Q15223
K06531	Q92692
K06592	Q9NQS3
K06593	Q96NY8;K4PZ75
K13305	Q96PU5
K16547	Q8NHV4;A0A024RBE5;A8K1Z3
K10591	P46934
K12158	Q15843
K06775	Q7Z3B1
K10567	Q96FI4
K10568	Q969S2;A0A024R361
K10569	Q8TAT5
K20879	Q6ZWH5;Q8N774
K20880	Q8NG66;B4DM56
K08857	Q96PY6;P51957;Q6P3R8;Q05DF6
K20872	P51955
K20873	P51956
K20875	Q9HC98;A0A024R8A6
K20876	Q8TDX7;B2R8K8
K20877	Q86SG6
K20878	Q8TD19;Q6PKF2
K15179	Q9H3P2;A0A0C4DFX9
K15180	Q8WX92
K15181	Q8IXH7;H0UI80
K15182	P18615;A0A1U9X830
K07210	Q9Y6K9
K06766	Q92859;Q59FP8
K14568	Q92979
K01389	P08473
K07609	P48681;Q9H6U9
K06843	O95631
K06844	O00634
K06845	Q9HB63
K09624	P56730;Q96I80
K01931	A8MQ27;O76050;B4DS86
K05243	P01178;X5D7M6
K05242	P01185;X5DQP6
K21749	Q8NFW8
K16782	Q9BR09
K15689	Q96EH8
K16777	Q96JN8
K01393	Q9BYT8
K20041	P17677;Q5U058
K01186	Q99519;Q5JQI0
K12357	Q9Y3R4;Q9UQ49;Q8WWR8;B3KR54;A0A024R5N6
K23412	Q99574;A0A0S2Z455
K05235	P30990;Q6FH20
K08052	P21359
K09040	Q14494;Q9Y4A8;Q8NF22
K05638	Q16236
K04446	O95644
K17332	Q13469
K17333	Q12968;B5B2S1
K17334	Q14934
K06757	O94856
K17335	O94916
K09039	Q16621;A8K3E0
K04574	P12036
K09168	Q12857
K09169	O00712;Q5VW28
K09170	P08651;B7Z4T6
K09059	Q16649;A0A024R241
K09171	Q14938
K02580	P19838
K04469	Q00653
K04572	P07196
K04573	P07197
K11671	Q6P4R8;A0A024R3K9
K04487	Q9Y697;Q53FP3
K22074	Q9UMS0
K12236	Q12986
K15683	Q6ZNB6;B1Q2B0
K08064	P23511
K08065	P25208;A0A024RBG7
K08066	Q13952
K21129	P80188
K17633	Q9UJF2;A8K2P3
K19177	Q96E22
K21893	Q9NPG2;A0M8W9
K14765	Q8NEJ9
K07525	Q8N5V2
K02582	P01138
K01456	Q96IV0
K09081	Q92886;F1T0H3
K09082	Q9H2A3
K08028	Q9Y4Z2
K23496	Q9NPE2
K12845	P55769;Q6FHM6
K10980	Q9H9Q4
K10602	Q6VVB1
K11129	Q9NX24
K13365	O14745
K13358	Q15599
K06171	Q92542
K16607	Q9BSH3;B2R7Q3
K06826	P14543;Q14112
K16310	Q8IY84
K16477	Q9Y2I6
K16476	Q8N4C6
K07565	Q9Y221
K19364	Q7RTP0
K22733	Q8N8Q9;Q6NVV3;Q0D2K0;Q9H841;Q6P499;A0A024R372
K06672	Q6KC79
K11206	Q86X76
K13566	Q9NQR4;V9HW91
K04222	P25103
K04223	P21452
K04224	P29371
K22735	Q4KMZ8;Q5VXU1;Q8IVV8;B3KNZ0;B3KWY5
K03213	Q969G9;Q969F2
K06541	P26715;P26717;Q07444;O43908
K06728	P26718;A0A024RAP8
K12740	P30414
K09309	Q9UD57
K09342	P43699
K08029	O95096
K09343	Q8TAU0
K09344	Q9H2Z4
K09345	P52952;A0A0S2Z383
K09346	A6NCS4
K09347	O15522
K09348	Q99801
K09995	P78367
K08030	P78426
K09350	Q9C056
K14855	Q9NVX2
K07378	Q8N2Q7;Q8NFZ4;Q9NZ94;Q8N0W4;Q8NFZ3;A0A024RBV0;A0A024R9E7;X5DNV3;B3KP11
K04468	Q9UBE8;A0A024QZ12
K22614	Q7RTR2;C3VPR7;Q8NF06
K12805	Q9NPP4
K22615	Q86WI3;Q9H6Y0;Q6MZW3
K12798	Q9C000
K12800	Q96P20
K20863	P59044
K22663	Q7RTR0
K12653	Q86UT6
K08764	P22307;A0A384NY87;B2R761;Q59HG9
K04168	P28336
K05223	P08949
K05213	Q8TCU5
K05214	O60391;Q5F0I5
K07562	Q96D46
K05209	Q12879;Q547U9
K05210	Q13224
K05211	Q14957;O15398
K05212	O15399;Q59G17
K05208	Q05586
K06210	Q9HAN9;Q9BZQ4;Q96T66;Q49AL4;A0A024R4E1
K00671	P30419;O60551
K05052	Q9HB89
K05053	Q9GZQ4
K05249	P48645;A0A250SH36
K00541	P40261;Q6FH49
K17757	Q8IW45
K17759	Q8NCW5
K00323	Q13423;A0A024R0C3
K19832	Q8NC60
K11883	Q9ULX3
K14833	Q9Y3T9
K14834	Q8WTT2
K14771	Q9BVI4
K18764	Q9UK39
K08727	Q9Y239;A0A024RA73
K10165	Q9HC29
K04666	Q96S42
K06943	Q9BZE4;D2CFK9
K14537	Q13823;Q5T0F3
K04658	Q13253
K14788	Q9BSC4
K14851	Q9UGY1;A0A024R1M6
K14544	Q9H6R4
K06947	Q5SY16
K17583	Q5C9Z4
K13214	Q15233;A0A0S2Z4Z9
K11130	Q9NPE3
K14766	P78316;A8KA74
K14835	P46087
K14840	Q9NZM5
K14564	O00567
K14565	Q9Y2X3
K14790	Q86U38
K13240	P29475;B3VK56;B4DG68;A0PJJ7
K13241	P35228
K13242	P29474
K13125	Q9Y314
K20126	Q8IVI9
K02599	P46531
K20994	Q04721;Q6IQ50;Q9UFD5
K20995	Q9UM47
K20996	Q99466;A0A1U9X983
K19882	Q6P988
K14944	P51513;Q9UNW9
K08008	Q9Y5S8
K21422	Q9HBY0
K21423	Q9NPH5
K21424	Q96PH1;A3QRJ0
K21432	Q86UR1
K17934	Q8NFA2;A8K832
K11279	P55209;A0A024RBB7;Q9H2B0
K11280	Q9ULW6
K11281	Q99457;Q8IYV1
K11282	Q99733;A0A024RCC9
K11283	Q96NT1
K14861	O60287
K09098	Q99742;Q8IXF0;X5D2Q4
K09026	Q99743;A2I2P5
K05268	P48145;H9NIL7
K08377	P48146
K05267	Q8NG41
K12385	O15118
K13443	P61916;A0A024R6C0
K14461	Q9UHC9
K04240	Q9GZQ6
K08375	Q9Y5X5
K05247	O15130
K19657	O15259
K19360	Q7Z494
K16478	O75161
K14015	Q8TAT6;A0A024R8R4
K01639	Q9BXD5
K11277	Q86SE8
K11278	O75607
K11276	P06748;A0A0S2Z491
K06824	Q6UXI9
K20405	Q8WTW4
K20406	Q12980;Q9BTE2
K08376	Q6W5P4;A0A090N8Z1
K12300	Q14916;O00624;O00476;Q9Y2C5;A0A024R013;A0A024QZX7;A0A024QZY2
K14683	Q06495;O95436;Q8N130;A0A024R7R9;Q7Z725;Q86VN6
K22653	Q9Y639
K23141	Q8N729
K04204	P25929
K04205	P49146
K04206	P0DQD5;P50391
K04207	Q15761
K05232	P01303;A4D158
K00355	P15559
K08071	P16083;B3KPX6
K08562	P51843;F1D8P4
K08563	Q15466
K03728	P20393;F1D8S3
K08531	Q14995;F1D8P2
K08535	P55055;F1D8P7
K08536	Q13133;B4DXU5;F1D8N1
K08537	Q96RI1
K08540	O75469
K08541	Q14994
K08543	P13056;H9NIM2
K08544	P49116
K08545	Q9Y466;B6ZGT9
K08546	Q9Y5X4
K08549	P10588;F1D8R3
K16349	Q68D85
K04465	P22736;A0A024R126
K08558	P43354;F1D8N6;Q53EL4
K08559	Q92570;A0A024R168
K08027	O00482
K08561	Q15406;F1D8S0
K12347	P49279
K21398	P49281;A0A0X8GKR4
K21246	Q96F24
K08875	Q9NSY0;Q9UHY1
K06756	Q92823;Q14CA1
K01411	O43847;Q6UUU9
K11831	Q16656;A0A024R770
K05455	Q02297;Q6PK61
K05456	O14511
K05457	P56975;B9EGV5
K05458	Q8WWG1
K17965	P48552;A8K171
K13215	Q9BQI9
K10524	Q9NWW6;Q9NPI5
K16313	Q7Z2Y5
K09038	P54845
K06724	O14786;Q6AWA9;Q68DN3;Q59F20
K06819	O60462;Q7Z3T9
K07377	P58400;Q9P2S2;Q9HDB5
K15046	Q9Y6Y0
K14842	O95478;Q5J7U2
K15588	Q96L73
K11424	O96028
K11425	Q9BZ95
K07748	Q15738;A0A384NPZ7
K22817	Q8WV22
K22756	Q96MF7;A0A024R9J6
K22823	Q96MG7
K22825	Q9NXX6
K14012	Q9UNZ2;Q53FE8
K06027	P46459;A0A384MTI6
K11545	Q96IY1;Q53FM2
K12352	Q9NY59;A8K0T6
K12353	Q9NXE4
K12351	O60906
K23844	Q6X4W1
K13206	Q9H0G5
K15335	Q08J23
K21969	Q9H649
K21970	Q96CB9
K15264	Q96P11
K21971	Q8TEA1
K14662	Q96AB6
K21286	Q96HA8
K14342	Q12908
K14344	Q96EP9
K14343	Q5PT55;P09131
K14347	Q0GE19
K14341	Q14973;B2RA41
K04356	P20783
K12457	P34130;A0A024QZE4
K10773	P78549;E5KTI5
K16219	Q9BV86;A0A024R8E4
K19579	Q5VVY1
K07522	Q9Y2I2;Q5IEC8;Q5IEC3
K16359	Q96CW9
K06928	Q9BSD7;Q5TDE9
K04211	P30989
K04212	O95665
K06774	Q9P121
K03176	P04629
K04360	Q16620;Q5VWE5;Q548C2
K05101	Q16288;X5D2R1
K14301	P57740
K14300	Q8WUM0
K14296	P49790
K14312	O75694;A0A024R071
K14303	Q12769
K14311	Q5SRE5
K03878	P03886;U5Z754
K14310	Q92621
K14317	P35658
K03879	P03891;Q7GXY9
K03880	P03897;Q7GXZ5
K03882	P03901;Q7GXZ4
K03881	P03905;H9EC08
K03883	P03915;U5ZC31
K03884	P03923;U5Z977
K08800	O60285;Q9H093;B4E0Y5;A0A024RBL3
K03593	Q8TB37;X5D2R5
K20371	Q02818;P80303;A8K7Q1
K01173	Q14249;E5KNL5
K11294	P19338;B3KM80
K07766	Q8NFP7;Q96G61;O95989;Q9NZJ9;A0A024RBD0
K03426	Q9BQG2
K08077	O95848
K03574	Q9NV35
K16855	Q96DE0
K17817	Q6ZVK8
K13355	A8MXV4
K13987	Q9UKK9
K17879	P0C024
K18665	Q8WV74
K13988	Q9BW91;Q96KB3
K11548	Q9BZD4
K23308	Q9UHK0
K16808	Q14980;Q3SYK8;Q4LE64
K06057	Q9Y6R0;P49757;A0A024R6F4;A8K033
K14313	Q8NFH5
K14302	Q8NFH4
K14321	O15504
K14305	Q8NFH3;Q8TEA6
K14295	Q9UKX7;A0A024R4X7
K14308	Q7Z3B4
K14307	Q9BVL2
K14306	P37198;A0A024QZF1
K14304	Q9BW27
K14318	Q99567
K14309	Q8N1F7
K14297	P52948
K15626	O60356;A0A024QZC4
K14571	O15381;B4DF43
K14284	Q9UBU9;Q9GZY0;Q9H4D5;Q9H1B4
K17609	Q5VZ03;Q6DKJ4
K16656	P58417;Q3LID8
K16657	O95156
K16658	O95157
K14285	Q9UKK6;Q9NPJ8
K08129	Q9GZU5
