DG00001	Chlorhexidine
DG02034	Carboxamide antiepileptics;Carboxamide anticonvulsants
DG02035	Fatty acid antiepileptics;Fatty acid anticonvulsants
DG02036	Antiepileptics, benzodiazepine derivatives;Anticonvulsants, benzodiazepine derivative
DG02037	GABA mimetic anticonvulsants;GABA mimetic antiepileptics
DG02038	Piracetam antiepileptics;Piracetam anticonvulsants
DG02039	Fiboflapon
DG02040	Aladorian
DG02041	Alvocidib
DG02042	Uricosurics
DG02043	Bavisant
DG02044	Hypoglycemics
DG02045	Acexamic acid
DG02046	Hydrazinophthalazine derivative
DG02068	Glucocorticoid
DG02069	Atiprimod
DG02073	Leucovorin;Folinic acid
DG02077	Difeterol
DG02078	Anivamersen
DG02081	Capmatinib
DG02084	Ribociclib
DG02094	Delcasertib
DG02115	Valbenazine
DG02199	Valtorcitabine
DG02201	Pomaglumetad methionil
DG02225	Larazotide
DG02303	Neratinib
DG02399	Amiselimod
DG02404	Bictegravir
DG02442	Tylvalosin
DG02443	Dexisometheptene
DG02444	Etrasimod
DG02467	Glycopyrronium
DG02500	Methicillin
DG02573	Prostanoid derivative
DG02580	Aceneuramic acid
DG02658	Cysteamine;Mercaptamine
DG02691	Migalastat
DG02692	Netarsudil
DG02693	Inotersen
DG02694	Mongersen
DG02805	Patiromer
DG02809	Telotristat
DG02827	Ozanimod
DG02828	Segesterone
DG02829	Upadacitinib
DG02830	Volixibat
DG02831	Omidenepag
DG02832	Maralixibat
DG02833	Itacitinib
DG02834	Lanabecestat
DG02835	Atosiban
DG02836	Ertugliflozin
DG02837	Enasidenib
DG02838	Mirtazapine
DG02839	Osilodrostat
DG02840	Herpesvirus DNA polymerase inhibitor
DG02841	Viral uncoating inhibitor
DG02842	Neuraminidase inhibitor
DG02843	Netupitant
DG02844	Ravuconazole
DG02845	Olanexidine
DG02846	Clemizole
DG02847	Hexestrol
DG02848	Sulfamethoxazole
DG02851	Ipatasertib
DG02852	CYP3A inhibitor
DG02853	CYP3A inducer
DG02862	ABCG2 (BCRP) inhibitor
DG02863	SLC22A2 (OCT2) inhibitor
DG02864	SLC47A1 (MATE1) inhibitor
DG02865	SLCO1B1 (OATP1B1) inhibitor
DG02866	SLC22A8 (OAT3) inhibitor
DG02867	ABCC2 (MRP2) inhibitor
DG02868	Zinostatin
DG02869	Indeloxazine
DG02870	Lidamidine
DG02871	Cyclamic acid
DG02872	Methylparaben
DG02873	Propylparaben
DG02874	Cloprostenol
DG02875	Butamben
DG02876	Capobenate
DG02877	Colforsin
DG02878	Febuxostat
DG02879	Dezaguanine
DG02880	Diphenidol
DG02881	SLC22A3 (OCT3) inhibitor
DG02882	ABCB11 inhibitor
DG02883	SLC22A7 (OAT2) inhibitor
DG02884	CYP2E1 inhibitor
DG02885	CYP2C19 inducer
DG02886	CYP2C9 inducer
DG02887	UGT inhibitor
DG02888	Fluprednisolone
DG02889	Gluceptate
DG02890	Halofuginone
DG02891	CYP2B6 inducer
DG02892	CYP2B6 inhibitor
DG02893	Linogliride
DG02894	Mefenidil
DG02895	Palmoxirate
DG02896	Motexafin
DG02897	Oxychlorosene
DG02898	Pipoxolan
DG02899	Piriprost
DG02900	Piroctone
DG02901	SLC22A6 (OAT1) inhibitor
DG02902	Robenidine
DG02903	Talabostat
DG02904	Tetramisole
DG02905	Tiacrilast
DG02906	Trecetilide
DG02907	SLCO1B3 (OATP1B3) inhibitor
DG02908	SLC22A1 (OCT1) inhibitor
DG02909	COMT inhibitor
DG02910	ABCG2 (BCRP) inducer
DG02911	SLCO1B1 (OATP1B1) inducer
DG02912	Glasdegib
DG02914	Difelikefalin
DG02915	Ingenol
DG02916	Olmutinib
DG02921	Avadomide
DG02922	Iberdomide
DG02923	Larotrectinib
DG02926	Deudextromethorphan
DG02927	Leniolisib
DG02929	Pemirolast
DG02930	Butetamate
DG02931	Brovincamine
DG02934	Cocarboxylase
DG02935	Delmadinone
DG02936	Dichlorisone
DG02937	Lumateperone
DG02938	Immune checkpoint inhibitor
DG02939	Diisopropylamine
DG02940	Dimecrotic acid
DG02941	Flavin adenine dinucleotide
DG02942	Poly (ADP-ribose) polymerase inhibitor;PARP inhibitor
DG02943	CDK4/6 inhibitor
DG02944	Vixotrigine
DG02945	Ralaniten
DG02946	Rezafungin
DG02947	Mirogabalin
DG02948	Relenopride
DG02949	Tavilermide
DG02951	FMO inhibitor
DG02952	AOX inhibitor
DG02955	Patisiran
DG02956	Fexapotide
DG02957	Seladelpar
DG02958	Roluperidone
DG02959	Diclofenac etalhyaluronate
DG02960	Pexidartinib
DG02961	Rosiptor
DG02962	Baloxavir
DG02963	Bivalirudin
DG02966	Rivoceranib
DG02967	Asalhydromorphone
DG02968	Fedratinib
DG02969	Contezolid
DG02976	Cefiderocol
DG02985	Nevanimibe
DG02986	Rodatristat
DG02987	Vatinoxan
DG02988	Umbralisib
DG02989	Sorliamfetol
DG02990	Uproleselan
DG02991	Afamelanotide
DG02993	Molibresib
DG02994	Reltecimod
DG02995	Nemiralisib
DG02996	Ensartinib
DG02997	Abivertinib
DG02998	Pimodivir
DG02999	Fosnetupitant
DG03000	Edicotinib
DG03003	Levofolinate;Levoleucovorin
DG03004	Asciminib
DG03005	Serotonin-dopamine antagonist (SDA)
DG03006	Guanylate cyclase activator
DG03008	SLCO1A2 (OATP1A2) inhibitor
DG03009	Lifirafenib
DG03010	Linrodostat
DG03011	Troriluzole
DG03012	Tebipenem pivoxil
DG03013	Oxycodegol
DG03014	Hydromethylthionine
DG03015	Nazartinib
DG03016	Nirogacestat
DG03017	Onvansertib
DG03018	Siponimod
DG03019	Tomivosertib
DG03020	Tazemetostat
DG03021	Pitolisant
DG03022	Arimoclomol
DG03023	Vecabrutinib
DG03024	Tilsotolimod
DG03025	Parsaclisib
DG03026	Miransertib
DG03027	Estetrol
DG03028	Flavodic acid
DG03029	Anti-influenza virus agent
DG03030	Combination of carbonic anhydrase inhibitor and beta blocking agent
DG03031	Combination of carbonic anhydrase inhibitor and prostaglandin derivative
DG03043	Bamocaftor
DG03044	Brepocitinib
DG03045	Sitravatinib
DG03046	Elamipretide
DG03047	Ibrexafungerp
DG03048	Blarcamesine
DG03049	Tecovirimat
DG03050	Abaloparatide
DG03051	Grazoprevir
DG03052	Lorcaserin
DG03053	Cefdinir
DG03054	Difenoxin
DG03055	Vasodilator, vinca alkaloid
DG03056	Serotonin antagonist and reuptake inhibitor (SARI)
DG03057	Durlobactam
DG03058	Zotiraciclib
DG03059	Noradrenalin and dopamine reuptake inhibitor (NDRI)
DG03060	Leriglitazone
DG03061	Linzagolix
DG03062	Infigratinib
DG03063	Bremelanotide
DG03064	Atypical antipsychotic
DG03065	GST substrate
DG03066	Lefamulin
DG03067	Venglustat
DG03068	Tasipimidine
DG03069	Lanraplenib
DG03070	Volanesorsen
DG03071	Trientine
DG03072	Tenapanor
DG03073	Duvelisib
DG03074	Tolvaptan
DG03075	Valemetostat
DG03076	Clazosentan
DG03077	Noradrenergic and specific serotonergic antidepressant (NaSSA)
DG03078	Elacestrant
DG03079	Berotralstat
DG03080	Gusacitinib
DG03081	Ampreloxetine
DG03082	Tirbanibulin
DG03083	Gefapixant
DG03084	Givosiran
DG03085	Norepinephrine reuptake inhibitor (NRI)
DG03086	Vocacapsaicin
DG03087	Tepotinib
DG03088	Taniborbactam
DG03089	Acalabrutinib
DG03090	Rovafovir
DG03091	Levamlodipine
DG03092	Nerinetide
DG03093	Dubermatinib
DG03094	Telaglenastat
DG03095	Lazucernon
DG03096	Fostemsavir
DG03097	Filanesib
DG03098	Necuparanib
DG03099	Onalespib
DG03100	Asenapine
DG03101	Tesevatinib
DG03102	Fosdenopterin
DG03103	Encequidar
DG03104	Vonoprazan
DG03105	Remimazolam
DG03106	Mivavotinib
DG03107	Anti-HIV agent
