C00001	H2O;Water
C10952	Rimsulfuron
C10953	Metolachlor
C10954	Naproanilide
C10955	Sulfometuron methyl
C10956	Oxycarboxin
C10957	Thifensulfuron methyl;Thifensulfuron-methyl
C10958	Prinomide
C10959	Thenylchlor;NSK-850
C10960	Triforine
C10961	Triasulfuron
C10962	Tribenuron-methyl;Tribenuron methyl
C10963	Terbacil
C10964	Benoxacor
C10965	Bentazone
C10966	Chlorpromazine N-oxide
C10967	Fluperlapine
C10968	Idazoxan
C10969	SC-1271;1-(4'-Chlorophenyl)-1,4-dihydro-4-oxo-5-propoxycinnoline-3-carboxylic acid
C10970	Benalfocin;SK&F 86466
C10971	N-(Bromophenyl)-3,4,5,6-tetrahydroisophthalimide;Isoimide
C10972	N-(4-Bromophenyl)-3,4,5,6-tetrahydrophthalimide;Imide
C10973	5-(4-Bromophenylimino)-3,4-tetramethylene-1,3,4-thiadiazolidin-2-one;Thiadiazolidinone
C10974	4-Methylaminobutanal
C10975	Triazolidinonethione;4-Bromophenyl-1,2-tetramethylene-1,2,4-triazolidin-3-one-5-thione
C10976	1-Oxa-2-oxo-3-methylcycloheptane
C10977	Thiadiazolidinethione;5-(4-Bromophenylimino)-3,4-tetramethylene-1,3,4-thiadiazolidine-2-thione
C10978	4-Bromophenyl-1,2-tetramethylene-1,2,4-triazolidine-3,5-dithione;Triazolidinedithione
C10979	Dichlozolinate;Chlozolinate
C10980	Bifenthrin
C10981	Vinclozolin
C10982	Cyfluthrin
C10983	Cyhalothrin
C10984	Cypermethrin
C10985	Deltamethrin;Decamethrin
C10986	Procymidone
C10987	NDPS;N-(3,5-Dichlorophenyl)succinimide
C10988	Pydrin;Fenvalerate
C10989	Fluvalinate
C10990	S-23031;Flumiclorac pentyl
C10991	Resmethrin
C10992	Tefluthrin
C10993	Flumipropyn;S-23121
C10994	Amdro;Hydramethylnon
C10995	Amitraz;Mitac
C10996	Daminozide
C10997	Guazatine;Iminoctadine
C10998	4-Aminobiphenyl
C10999	4,4'-Methylene-bis-(2-chloroaniline);MOCA;Methylenebis(chloroaniline)
C11000	Dicloran;2,6-Dichloro-4-nitroaniline;Dichloran;DCNA
C11001	DEA;2,6-Diethylaniline
C11002	Isofenphos
C11003	2,4-Xylidine;2,4-Dimethylaniline;2,4-DMA
C11004	2,6-Dimethylaniline;2,6-DMA;2,6-Xylidine
C11005	Isoproturon
C11006	2,4-Dinitrotoluene;2,4-DNT
C11007	Linuron
C11008	2,6-Dinitrotoluene;2,6-DNT
C11009	Chlorbromuron
C11010	2-Fluoroaniline;o-Fluoroaniline
C11011	Metoxuron;Dosanex
C11012	Pencycuron
C11013	m-Fluoroaniline;3-Fluoroaniline
C11014	p-Fluoroaniline;4-Fluoroaniline
C11015	Aldicarb
C11016	Diphenylamine;N,N-Diphenylamine
C11017	BAS 490 F;Kresoxim-methyl
C11018	Azinphos methyl;Azinphos-methyl
C11019	Pendimethalin
C11020	Dichlorprop;2,4-DP;2-(2,4-Dichlorophenoxy)propionic acid
C11021	Diclofop methyl
C11022	Cremart;Butamifos
C11023	O-Ethyl-O-(5-methyl-4-nitrophenyl)(1-methylpropyl)phosphoramidothioate
C11024	Fenoxaprop ethyl;Fenoxaprop-ethyl
C11025	Coumaphos
C11026	Coumaphos anti-dimer
C11027	Coumaphos syn-dimer
C11028	Agria 1060 A;Phosalone
C11029	Fluazifop butyl
C11030	Quinalphos
C11031	Haloxyfop methyl;Haloxyfop methyl ester
C11032	Triclopyr;Trichlopyr
C11033	Aminomethylphosphonate;AMPA;1-Aminomethylphosphonic acid
C11034	2-[p-(p-Chlorobenzyloxy)phenyl]-4,5,6,7-tetrahydroisoindoline-1,3-dione;MK-129
C11035	S-53482;Flumioxazin
C11036	Bromobenzene
C11037	Chlorothalonil;TPN;Daconil;Tetrachloroisophthalonitrile
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C11040	Dichlobenil;2,6-Dichlorobenzonitrile
C11041	2,6-Dichlorothiobenzamide;Chlorthiamid
C11042	Hexachlorobenzene;HCB
C11043	Methoxychlor
C11044	1,2,4-Trichloro-5-(2,4-dichlorophenoxy)benzene;2,2',4,4',5-Pentachlorodiphenyl ether
C11045	Aspartame
C11047	3-Acetyl-1-tigloylazadirachtinin;Azadirachtinin
C11048	Brassicanal A
C11049	24-epi-Brassinolide
C11050	25-Hydroxy-24-epi-brassinolide
C11051	26-Hydroxy-24-epi-brassinolide
C11052	7-Ethoxycoumarin
C11053	9,10-Dihydrokadsurenone
C11054	Spinosyn A;Spinosad factor A
C11055	Spinosyn B
C11056	Spinosyn D;Spinosad factor D
C11057	PCB 77;3,4,3',4'-Tetrachlorobiphenyl
C11058	1,2,3,4-Tetrachlorodibenzo-p-dioxin;1,2,3,4-Tetrachlorodibenzodioxin;1,2,3,4-TCDD
C11059	1,3,6,8-Tetrachlorodibenzodioxin;1,3,6,8-TCDD;1,3,6,8-Tetrachlorodibenzo-p-dioxin
C11060	(-)-Abscisic acid;(-)-ABA
C11061	Retinoyl glucuronide;all-trans-Retinoyl-beta-glucuronide
C11062	4-Hydroxybutyryl-CoA;4-Hydroxybutanoyl-CoA
C11063	MC-338;2,4,6-Trichlorophenyl 4-nitrophenyl ether;Chlornitrofen
C11064	Preforan;Fluorodifen
C11065	Nitrofen
C11066	Bifenox;MC-4379
C11067	MC-3761
C11068	MC-5127
C11069	MC-6063
C11070	MC-7181
C11071	Aminocarb;Matacil
C11072	2-Tetrahydrothiopheneacetic acid;THTA
C11073	Benfuracarb
C11074	2-n-Tetrahydrothiophenecarboxylic acid;THTC
C11075	Carbetamide
C11076	2-N-Dodecyltetrahydrothiophene;DTHT
C11077	Diethofencarb
C11078	Fenoxycarb
C11079	Pirimicarb
C11080	Cartap
C11081	EPTC;S-Ethyl dipropylthiocarbamate
C11082	UTHT;2-N-Undecyltetrahydrothiophene
C11083	Imazamethabenz-methyl;2-[4,5-Dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl]-4(or 5)-methylbenzoic acid methyl ester;Assert;Imazamethabenz
C11084	Fenothiocarb
C11085	Fenothiocarb sulfoxide
C11086	Molinate;Ordram
C11087	Orbencarb
C11088	1,2-Dibromoethane;Ethylene dibromide
C11089	Dichloroacetylene
C11090	Benzoepin;Endosulfan
C11091	Hexachloro-1,3-butadiene;HCBD;Hexachlorobutadiene
C11092	Azocyclotin
C11093	Cyhexatin
C11094	Carfentrazone-ethyl
C11095	FMC57020;Clomazone
C11096	Croconazole
C11097	F5231
C11098	Fenpyroximate
C11099	Fipronil
C11100	Raiser;Flurochloridone
C11101	5-Hydroxymethyl-2-furaldehyde;5-Hydroxymethylfurfural;HMF
C11102	HOG;Hymexazol O-glucoside
C11103	Hymexazol
C11104	HNG;Hymexazol N-glucoside
C11105	5-Methyl-3-isoxazolyl sulfate
C11106	3-Oxobutanamide;AAA;Acetoacetamide
C11107	3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole
C11108	(-)-erythro-(2R,3R)-Dihydroxybutylamide;DBA
C11109	HBA
C11110	Imidacloprid
C11111	Isoprothiolane
C11112	Propanedioic acid, 1,3-dithiolan-2-ylidene-, bis(1-methylethyl) ester, 5-oxide;Isoprothiolane sulfoxide
C11113	Methaphenilene
C11114	Methapyrilene
C11115	5-Methyl-2-furfural;5-Methyl-2-furaldehyde
C11116	Imidazolidinetrione, methyl-;1-Methylparabanic acid
C11117	5-N-Methyloxaluric acid
C11118	N-Methyl-2-pyrrolidinone;1-Methyl-2-pyrrolidinone;N-Methylpyrrolidone
C11119	3-Nitrosothiazolidine;N-Nitroso-1,3-thiazolidine
C11120	Oxaminozoline;Rilmenidine
C11121	Propiconazole
C11122	DTP;4-(2,4-Dichlorobenzoyl)-1,3-dimethyl-5-hydroxypyrazole;(2,4-Dichlorophenyl)(5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl)methanone
C11123	Pyrazolate;4-(2,4-Dichlorobenzoyl)-1,3-dimethyl-5-pyrazolyl p-toluenesulfonate
C11124	Spiroxamine;KWG4168
C11125	Sulfentrazone;F6285
C11126	1H-Pyrazole-5-carboxamide, 4-chloro-N-((4-(1,1-dimethylethyl)phenyl)methyl)-3-ethyl-1-methyl-;Tebufenpyrad
C11127	Triadimenol
C11128	2,4,5-Tribromo-1-(4-chlorobenzoyl)imidazole
C11129	Isatin;1H-Indole-2,3-dione
C11130	Dioxindole;3-Hydroxyindolin-2-one;1,3-Dihydro-3-hydroxy-2H-indol-2-one
C11131	2-Methoxy-estradiol-17beta 3-glucuronide
C11132	2-Methoxyestrone 3-glucuronide
C11133	Estrone beta-D-glucuronide;Estrone glucuronide;Estrone 3-glucuronide
C11134	Testosterone 17beta-(beta-D-glucuronide);Testosterone glucuronide
C11135	Androsterone glucuronide;Androsterone 3-glucuronide
C11136	Etiocholan-3alpha-ol-17-one 3-glucuronide
C11141	(+)-Atherospermoline
C11142	Sulfonylbismethane;Dimethyl sulfone
C11143	DMSO;Dimethyl sulfoxide
C11144	DME;Dimethyl ether;Methoxymethane
C11145	Methanesulfonate;Methanesulfonic acid
C11146	Methylmercury chloride
C11147	Fluoromethane;Methyl fluoride
C11148	TCE epoxide;Trichloroethylene epoxide;Trichloroepoxyethane
C11149	Dichloroacetate
C11150	Trichloroacetate;Trichloroacetic acid;TCA
C11151	Phenylmercury acetate
C11152	Tetraphenylphosphonium
C11153	VM-26;Teniposide
C11154	Trimetrexate
C11155	Propyl gallate;n-Propyl gallate
C11156	Triadimefon
C11158	Topotecan
C11159	Tiron;1,2-Dihydroxybenzene-3,5-disulfonic acid disodium salt
C11160	Tetramethylthioperoxydicarbonic diamide;Thiram
C11161	Homidium bromide;Ethidium bromide
C11162	5'-Methoxyhydnocarpin-D
C11163	INF271;N-(2-Methoxyphenyl)-N'-(2-naphtyl)urea
C11164	Carbonyl cyanide m-chlorophenyl hydrazone;CCCP
C11165	Thiolactomycin
C11166	Sodium dodecyl sulfate;Sodium lauryl sulfate;SDS
C11168	Tetrabenazine
C11169	Sulfathiazole
C11170	Sulbenicillin
C11171	Sodium deoxycholate
C11172	Simazine
C11173	SN-38
C11174	1-Diphosinositol pentakisphosphate;Diphospho-myo-inositol pentakisphosphate;1D-myo-Inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate;D-myo-Inositol, 2,3,4,5,6-pentakis(dihydrogen phosphate) 1-(trihydrogen diphosphate)
C11175	S-(2,4-Dinitrophenyl)glutathione
C11177	Rhodamine 6G
C11178	Resazurin
C11179	Pyronine;Pyronine Y
C11180	Pyrimethanil
C11181	Proflavine
C11182	Prochloraz
C11184	9-((2-Phosphonylmethoxy)ethyl)guanine;PMEG
C11185	Nuarimol
C11186	Nonactin
C11188	Neburon;Kloben
C11189	Hoechst 33342;Hoe 33342
C11190	Rhodamine 123
C11191	cis-(Z)-Flupenthixol
C11193	R (+)-Propanolol;Dexpropranolol;R-(+)-Propranolol
C11194	Morfamquat;Morfamquat dichloride
C11195	Mitoxantrone
C11196	Methomyl
C11198	Melittin;Melitten
C11199	Cefpirome;HR 810
C11200	Lenacil
C11201	Isometamidium chloride
C11202	Cefclidin
C11203	Cefozopran;SCE 2787
C11205	Hexadimethrine bromide;Polybrene
C11206	p-Methylaminophenol sulfate
C11207	Phenapronil;Sisthane;Fenapanil
C11208	Rovrol;Iprodione;Rovral
C11210	Cefoselis
C11212	NIK250
C11213	Valspodar;3'-Keto-bmt(1)-val(2)-cyclosporin A;SDZ PSC 833
C11214	1,3-Diamino-2-thiourea;Thiocarbohydrazide
C11215	Arsenate ion;Arsenate
C11216	Zwittergent 3-14
C11217	p-Fluorophenylalanine
C11218	Gramicidin S
C11219	Imazalil nitrate
C11221	FMLP OMe;Formylmethionyl-leucyl-phenylalanine methyl ester
C11222	Geldanamycin
C11223	Ferric dimethyldithiocarbamate;Ferbam
C11224	Fenuron
C11225	Herbimycin;Herbimycin A
C11226	Fenarimol
C11227	Ethionine
C11228	Estramustine
C11229	Epoxiconazole
C11230	Epirubicin
C11231	Docetaxel;Docetaxel anhydrous
C11232	Diphenylcarbazide
C11233	Dimethyl phthalate
C11234	Difloxacin
C11235	Diclobutrazol
C11236	Dexniguldipine;Niguldipine
C11237	Estradiol-17beta-glucuronide;17beta-Estradiol 17-(beta-D-glucuronide);Glucuronosylestradiol
C11238	GF 109203X;Bisindolylmaleimide I
C11239	Verlukast;MK 571
C11240	Rufloxacin
C11242	Bacteriochlorophyll a
C11243	Bacteriochlorophyll b
C11244	Bacterio-chlorophyll d;Bacterio-chlorophyll e;Bacterio-chlorophyll c
C11245	Glucuronosyletoposide;Etoposide glucuronide
C11246	6alpha-Glucuronosylhyodeoxycholate
C11248	DU-6859;Sitafloxacin
C11249	Cyclohexane
C11250	Demecolcine;Colcemid
C11251	Cholesteryl palmitate
C11252	Chloroneb
C11253	Cefsulodin
C11254	Carmine;Carminic acid
C11255	Carboxin
C11256	N-Cbz-leu-nleu-al;Calpeptin
C11257	Calcein AM
C11258	Bitertanol
C11259	Bicyclomycin;Bicozamycin
C11260	Aminomethyl propanediol;2-Amino-2-methyl-1,3-propandiol
C11261	Amitrole;3-Amino-1,2,4-triazole;2-Amino-1,3,4-triazole;Aminotriazole
C11262	5-Azacytidine;Azacitidine
C11263	N6-Benzyladenine;6-Benzylaminopurine;N-Benzyladenine
C11264	7-Hydroxyflavone;7-Hydroxy-2-phenyl-4-benzopyrone
C11265	8-Azaadenosine
C11266	8-Bromoadenosine
C11268	Biapenem
C11269	Virginiamycin factor S;Virginiamycin S1
C11271	Hexane;n-Hexane
C11272	Fluorobenzene
C11273	Acriflavine
C11274	2-Hydroxy-3,4,5,6-tetrachlorobenzanilide;Tetrachlorosalicylanilide
C11275	Trimethylcetylammonium bromide;Hexadecanyltrimethylammonium bromide;Cetyltrimethylammonium bromide;Cetrimonium bromide;CTAB
C11276	ACNU;Nimustine hydrochloride
C11277	9-(2-Phosphonylmethoxyethyl)adenine;PMEA;Adefovir
C11278	8,9-Dihydro-8-(S-glutathionyl)-9-hydroxyaflatoxin B1;Aflatoxin B1exo-8,9-epoxide-GSH
C11279	Tetradecyltrimethylammonium bromide;MTAB;Myristyltrimethylaminium bromide
C11280	Dolastatin 10
C11281	Anisomycin
C11282	Azidopine
C11283	2,4-Dinitrophenylhydrazine
C11284	Indolebutyric acid;Indole-3-butyric acid;IBA
C11285	Tridemorph;2,6-Dimethyl-4-tridecylmorpholine
C11288	16alpha,17beta-Estriol 3-(beta-D-glucuronide)
C11289	17beta-Estradiol 3-sulfate-17-(beta-D-glucuronide);Estradiol 17beta-glucuronide 3-sulfate
C11290	3-Chlorosalicylanilide
C11292	N-Acetylleucyl-leucyl-methioninal
C11293	CGA 64251;Etaconazole
C11295	N-Acetyl-leu-leu-leu-leu-tyr-amide;NAc-L4Y-amide
C11296	N-Acetyl-leu-leu-leu-tyr-amide;NAc-L3Y-amide
C11297	N-Acetyl-leu-leu-tyr-amide;NAc-LLY-amide
C11298	N-Formyl-norleucyl-leucyl-phenylalanyl-methylester;f-NLP-ME
C11299	Streptogramin A;Virginiamycin M1;Mikamycin A;Pristinamycin IIA
C11300	Soraphen A
C11301	Sulfoglycolithocholate;Glycolithocholate 3-sulfate;Sulfolithocholylglycine
C11302	S-Octyl glutathione;S-Octyl GSH
C11303	S-Decyl GSH;S-Decyl glutathione
C11304	S-(PGA1)-glutathione
C11305	Triphenyltetrazolium chloride;2,3,5-Triphenyltetrazolium chloride
C11306	Acetylleucyl-leucyl-norleucinal
C11307	Cetylpyridinium chloride
C11308	Chymostatin
C11309	Ionophore A23187;Calcimycin
C11310	Cyperquat;1-Methyl-4-phenylpyridinium;N-Methyl-4-phenylpyridine
C11311	Oligomycin A
C11312	Oligomycin B
C11313	Oligomycin C
C11314	Oligomycin D;Rutamycin
C11315	S-(p-Azidophenacyl)glutathione;S-(4-Azidophenacyl)glutathione
C11316	Tetraphenylarsonium
C11317	Solutol HS 15
C11318	DAMGO;(D-Ala(2)-mephe(4)-gly-ol(5))enkephalin;Tyr-D-Ala-Gly-MePhe-Gly-ol
C11319	3,5-Dinitrosalicylic acid
C11320	D-Ornithine hydrochloride
C11321	CHAPS;3-((3-Cholamidopropyl)dimethylammonium)-1-propanesulfonate
C11322	4,5,6,7-Tetrachloro-2-trifluoromethylbenzimidazole
C11323	Chromotropic acid;4,5-Dihydroxynaphthalene-2,7-disulfonic acid
C11324	6-(3,3-DMA)chrysin;6-(3,3-Dimethylallyl)chrysin
C11325	8-(3,3-DMA)chrysin;8-(3,3-Dimethylallyl)chrysin
C11326	8-Anilino-1-naphthalene sulfonic acid;1-Anilino-8-naphthalenesulfonate;ANS
C11327	2-Pyridyl hydroxymethane sulfonic acid
C11328	Leucyl-leucyl-norleucine
C11329	N-Acetyl-ala-ala-ala-methylester;NAc-AAA-ME
C11330	NAc-LLY;N-Acetyl-leu-leu-tyr
C11331	Leu-leu-tyr;LLY
C11332	Leucyl-leucine
C11333	N-Acetyl-leucyl-leucine
C11334	Gentamicin C complex sulfate;Gentamycin sulfate;Gentamicin sulfate
C11335	Tetramethylammonium chloride;N,N,N-Trimethylmethanaminium chloride
C11336	Mersalyl acid
C11337	(+-)-Tetramisole hydrochloride;Tetramisole hydrochloride
C11338	Bornyl acetate;(1R,2S,4R)-(+)-Bornyl acetate
C11339	Antimycin A1
C11340	Antimony potassium tartrate
C11341	N-Acetyl-DL-phenylalanine beta-naphthyl ester;N-Acetylphenylalanine beta-naphthyl ester
C11342	Oxolinic acid
C11343	Salicylhydroxamic acid
C11344	Methyl tert-butyl ether;tert-Butyl methyl ether
C11345	Triazolealanine;1,2,4-Triazole-3-alanine
C11346	16alpha,17beta-Estriol 17-(beta-D-glucuronide)
C11347	S-Methylglutathione;S-Methyl GSH
C11348	(S)-1-Phenethyl alcohol;(S)-1-Phenylethanol
C11349	Amino group donor
C11350	(+)-trans-alpha-Irone
C11351	1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol 6-phosphate;N1-Amidinostreptamine 6-phosphate
C11352	5,6-Dichloro-1,3-cyclohexadiene
C11353	2-Hydroxy-3-chloropenta-2,4-dienoate
C11354	2-Hydroxy-cis-hex-2,4-dienoate
C11355	4-Amino-4-deoxychorismate;ADC
C11356	trans,trans,cis-Geranylgeranyl pyrophosphate;Geranylneryl diphosphate;trans,trans,cis-Geranylgeranyl diphosphate;2-cis,6-trans,10-trans-Geranylgeranyl diphosphate
C11357	(-)-Anabasine
C11358	(-)-Anaferine;D-(-)-Anaferine
C11359	(-)-Hygrine
C11360	(+)-Nornicotine
C11361	N-Acetylleukotriene E4
C11362	Perhydroazepino-N-carbonyl-L-Leu-D-Trp-D-Trp;BQ 485
C11363	Sulfobromophthalein
C11365	Irinotecan carboxylate;CPT-11 carboxylate form
C11366	SN-38 carboxylate form
C11367	PGA1-GS;GSH-prostaglandin A1;Glutathione-prostaglandin A1 conjugate
C11368	Grepafloxacin
C11369	Fluo-3
C11370	N-Ethylmaleimide-S-glutathione
C11371	Nafenopin
C11372	Tomudex;ICI D1694;Raltitrexed;ZD1694
C11373	Temocaprilat;RS 5139
C11374	GW1843;1843U89
C11375	SN38 glucuronide carboxylate form
C11376	SN38 glucuronide;SN-38G
C11377	alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein
C11378	Coenzyme Q10;Ubidecarenone;Ubiquinone-10
C11379	(8alpha,9R)-Cinchonan-9-ol;Cinchonidine
C11380	Acetovanillone;Apocynin
C11381	Benzoyltropine;Benzoyltropein
C11382	(+)-3-Carene;(+)-Car-3-ene;Isodiprene;(1S,6R)-3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene
C11383	(+)-Carvone;(+)-(S)-Carvone;Carvone;Carvol
C11384	(S)-3,7-Dimethyloct-6-enal;(S)-(-)-Citronellal
C11385	Globotetraosylceramide;N-Acetyl-galactosaminyl-1,6-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide;GalNAc-bta1->6Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer
C11386	(-)-Citronellol
C11387	(+)-Fenchone;(1S,4R)-(+)-Fenchone
C11388	(R)-(-)-Linalool;(-)-Linalool;(3R)-Linalool
C11389	(S)-(+)-Linalool;(3S)-Linalool;(+)-Linalool
C11390	(+)-Menthone
C11391	(S)-(+)-alpha-Phellandrene
C11392	(-)-beta-Phellandrene
C11393	(L)-alpha-Terpineol;(-)-alpha-Terpineol
C11394	(+)-Chrysanthenone
C11395	(4R,6R)-cis-Carveol
C11396	(-)-Dihydrocarveol;(1R,2R,4R)-Dihydrocarveol
C11397	(1R,2S,4R)-Neo-dihydrocarveol
C11398	(1R,4R)-Dihydrocarvone
C11399	(1S,2S,4R)-Iso-dihydrocarveol
C11400	(1S,2R,4R)-Neoiso-dihydrocarveol
C11401	(1S,4R)-Iso-dihydrocarvone
C11402	(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone
C11403	(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone
C11404	(3R)-6-Hydroxy-3-isopropenyl-heptanoate
C11405	(3R)-3-Isopropenyl-6-oxoheptanoic acid;(3R)-3-Isopropenyl-6-oxoheptanoate
C11406	(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate
C11407	(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA
C11408	(4S,6S)-cis-Carveol
C11409	(4S,6R)-trans-Carveol;(+)-trans-Carveol
C11410	(1R,2S,4S)- Neoiso-dihydrocarveol
C11411	(1R,2R,4S)-Iso-dihydrocarveol
C11412	(1R,4S)-Iso-dihydrocarvone
C11413	(1S,2S,4S)-Dihydrocarveol;(+)-Dihydrocarveol
C11414	(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone;4-Isopropenyl-7-methyloxepan-2-one
C11415	(1S,4S)-Dihydrocarvone
C11416	(1S,2R,4S)-Neo-dihydrocarveol
C11417	6-Hydroxy-3-isopropenylheptanoate;(3S)-6-Hydroxy-3-isopropenyl-heptanoate
C11418	(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone
C11419	(3S)-3-Isopropenyl-6-oxoheptanoate;(3S)-3-Isopropenyl-6-oxoheptanoic acid
C11420	(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate
C11421	(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA
C11422	Phenanthracene;Phenanthrene
C11425	2-Hydroxy-2H-benzo[h]chromene-2-carboxylate
C11426	cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate
C11427	1-Hydroxy-2-naphthaldehyde
C11428	trans-9(S),10(S)-Dihydrodiolphenanthrene
C11429	Phenanthrene-9,10-oxide
C11430	9-Phenanthrol;9-Hydroxyphenanthrene
C11431	Phenanthrene-1,2-oxide
C11432	1-Hydroxyphenanthrene;1-Phenanthrol
C11433	1-Methoxyphenanthrene
C11434	2-C-Methyl-D-erythritol 4-phosphate
C11435	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C11437	1-Deoxy-D-xylulose 5-phosphate
C11438	C-1027 Chromophore;C-1027
C11439	Formyl-L-methionyl peptide
C11440	Methionyl peptide
C11441	Deshydroxy-C-1027 chromophore
C11442	Aromatized C-1027 chromophore
C11443	Aromatized deshydroxy-C-1027 chromophore
C11445	4-(1,2-Epoxyethyl)-8,9-epoxy-enediyne
C11446	4-Dihydroxyethyl-8,9-epoxy-enediyne
C11447	dTDP-4-dimethylamino-4,6-dideoxy-5-C-methyl-D-allose
C11448	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA;Benzoxazolinyl-CoA
C11449	(S)-3-Chloro-4,5-dihydroxy-beta-phenylalanyl-[pcp];(3S)-3-Amino-3-(3-chloro-4,5-dihydroxyphenyl)propanoyl-[peptidyl-carrier protein]
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate;3-Methyl-1,2,3,4-tetrahydroxybutane-1,3-cyclic bisphosphate
C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C11456	cis-3-(1-Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol
C11457	3-(3-Hydroxyphenyl)propanoate;3-(3-Hydroxyphenyl)propanoic acid;Dihydro-3-coumaric acid;3-Hydroxyphenylpropanoate
C11460	dTDP-4-oxo-6-deoxy-5-C-methyl-L-mannose;dTDP-4-oxo-5-C-methyl-L-rhamnose
C11461	dTDP-4-amino-4,6-dideoxy-5-C-methyl-D-allose
C11462	3-Hydroxy-L-tyrosyl-AMP;3,4-Dihydroxy-L-phenylalanyl-AMP
C11465	3,5-Dihydroxyanthranilate;3,5-Dihydroxyanthranilic acid
C11466	5-Methoxy-3-hydroxyanthranilic acid;5-Methoxy-3-hydroxyanthranilate
C11467	N-Pyruvoyl-5-methoxy-3-hydroxyanthranilic acid;N-Pyruvoyl-5-methoxy-3-hydroxyanthranilate
C11468	Benzoxazolinate;3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid
C11469	Calichemicin gamma1;Calicheamicin gamma(1)I
C11471	Dynemicin A
C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
C11473	Evisect;Thiocyclam
C11474	Nereistoxin;NTX
C11475	DNA containing guanine
C11476	L-Arabinose
C11477	Sugar
C11478	tRNA containing 5-aminomethyl-2-thiouridine;tRNA containing nm5s2U
C11480	2-Methyl-6-oxohepta-2,4-dienal
C11481	Bisulfite;HSO3-;Hydrogen sulfite
C11482	Holo-Lys2;[Enzyme]-acyl-binding site;[Enzyme]-phosphopantetheine
C11483	MEGA
C11484	GA
C11485	Ameltolide;LY201116
C11486	NAC
C11487	N-Ethyl-2-phenylacetamide;EPA;N-Ethylphenylacetamide
C11488	HMMF;N-Hydroxymethyl-N-methylformamide
C11489	NMF;N-Methylformamide
C11490	N-Acetyl-S-(N-methylcarbamoyl)cysteine;AMCC
C11491	2-(2-Naphthalenyloxy)propanoic acid;NOP;2-(2-Naphthoxy)propionic acid
C11492	NOPM;2-(2-Naphthoxy)propionic acid methyl ester
C11493	Carfentrazone
C11494	Methyl 2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)-p-toluate
C11495	Methyl 6-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)-m-toluate
C11496	(R)-2-Hydroxypropyl-CoM;2-(R)-Hydroxypropyl-CoM
C11497	2-Oxopropyl-CoM;2-(2-Oxopropylthio)ethanesulfonate
C11498	(2S)-2-Hydroxypropyl-CoM;(S)-2-Hydroxypropyl-CoM
C11499	(S)-3-Sulfolactate;(2S)-3-Sulfolactate
C11500	5'-Dehydroadenosine
C11501	9-Riburonosyladenine
C11502	Mycothione
C11503	3-Hydroxy-1H-quinolin-4-one
C11504	3-Hydroxy-2-methyl-1H-quinolin-4-one
C11505	Propene;Propylene
C11506	(2R)-1,2-Epoxypropane
C11507	(S)-1,2-Epoxypropane
C11508	4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol;Delta8,14-Sterol
C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
C11510	2,4.6-Trichloroanisole
C11511	threo-3-Hydroxy-L-aspartate;L-threo-3-Hydroxyaspartate
C11512	(-)-Methyl jasmonate;Methyl jasmonate
C11513	(24R)-24-Methylcycloart-25-en-3-beta-ol
C11514	(E)-3-(Methoxycarbonyl)pent-2-enedioate
C11515	(E)-2-(Methoxycarbonylmethyl)butenedioate
