dr:D00001	Water (JP17/USP)
dr:D04871	Mecetronium ethylsulfate (USAN/INN)
dr:D04872	Mechlorethamine hydrochloride (USP)
dr:D04873	Zinc oxide and clove oil
dr:D04874	Sodium iodide (JP17/USP)
dr:D04875	Zinc sulfate, iodine, sodium iodine and glycerin
dr:D04876	Hinokitiol
dr:D04877	Mecloqualone (USAN/INN)
dr:D04878	Meclorisone dibutyrate (USAN)
dr:D04879	Hydrocortisone acetate, hinokitiol and ethyl aminobenzoate
dr:D04880	Dental iodine glycerin (JP17)
dr:D04881	Aluminum chloride, cetylpyridinium chloride and Lidocaine
dr:D04882	Medazepam hydrochloride (USAN)
dr:D04883	Medetomidine hydrochloride (USAN)
dr:D04884	Medorinone (USAN/INN)
dr:D04885	Medrogestone (USAN/INN)
dr:D04886	Medronate disodium (USAN)
dr:D04887	Medronic acid (USAN)
dr:D04888	Medroxalol (USAN/INN)
dr:D04889	Medroxalol hydrochloride (USAN)
dr:D04890	Thiamine disulfide nitrate (JAN)
dr:D04891	Mefenidil (USAN)
dr:D04892	Mefenidil fumarate (USAN)
dr:D04893	Mefenorex hydrochloride (USAN)
dr:D04894	Mefexamide (USAN/INN)
dr:D04895	Mefloquine (USAN/INN)
dr:D04896	Megalomicin potassium phosphate (USAN)
dr:D04897	Meglutol (USAN/INN)
dr:D04899	Thiamine chloride hydrochloride, riboflavin sodium phosphate and ascorbic acid
dr:D04900	Melengestrol acetate (USP)
dr:D04901	Thiamine disulfide, pyridoxine hydrochloride and cyanocobalamin
dr:D04902	Flavin adenine dinucleotide sodium and pyridoxal phosphate
dr:D04903	Melizame (USAN/INN)
dr:D04904	Thiamine disulfide, pyridoxine hydrochloride and hydroxocobalamin acetate
dr:D04905	Memantine hydrochloride (JAN/USP)
dr:D04906	Memotine hydrochloride (USAN)
dr:D04907	Menabitan hydrochloride (USAN)
dr:D04908	Menadiol sodium diphosphate (USP)
dr:D04909	Ascorbic acid and calcium pantothenate (JP17)
dr:D04910	Meningococcal polysaccharide vaccine group A
dr:D04911	Benfotiamine, pyridoxine hydrochloride and cyanocobalamin
dr:D04912	Menoctone (USAN/INN)
dr:D04913	Thiamine chloride hydrochloride, pyridoxine hydrochloride and cyanocobalamin
dr:D04914	Menogaril (USAN/INN)
dr:D04915	Calcium pantothenate, riboflavin, pyridoxine hydrochloride and nicotinamide
dr:D04916	Thiamine nitrate, pyridoxine hydrochloride and hydroxocobalamin acetate
dr:D04917	Octotiamine, riboflavin, pyridoxine hydrochloride and cyanocobalamin
dr:D04918	Menthol (USP)
dr:D04919	Pyridoxal phosphate, fursultiamine hydrochloride, riboflavin and hydroxocobalamin acetate
dr:D04920	Meobentine sulfate (USAN)
dr:D04921	Mepartricin (USAN/INN)
dr:D04922	Fursultiamine, pyridoxal phosphate and hydroxocobalamin acetate
dr:D04923	Mepolizumab (USAN/INN)
dr:D04924	Meptazinol hydrochloride (USAN)
dr:D04925	Mequidox (USAN/INN)
dr:D04926	Mequinol (USAN/INN)
dr:D04927	Meradimate (USP/INN)
dr:D04928	Meralein sodium (USAN/INN)
dr:D04929	Hydroxocobalamin hydrochloride (JAN)
dr:D04930	Benfotiamine, pyridoxine hydrochloride and Hydroxocobalamin hydrochloride
dr:D04931	Mercaptopurine (INN)
dr:D04932	Mercufenol chloride (USAN)
dr:D04933	Thiamine disulfide phosphate (JAN)
dr:D04934	Mercury, ammoniated (USP)
dr:D04935	Thiamine disulfide phosphate, pyridoxine hydrochloride and cyanocobalamin
dr:D04936	Merimepodib (USAN/INN)
dr:D04937	Riboflavin and pyridoxine hydrochloride
dr:D04938	Merisoprol acetate Hg 197 (USAN)
dr:D04939	Merisoprol acetate Hg 203 (USAN)
dr:D04940	Merisoprol Hg 197 (USAN)
dr:D04941	Meseclazone (USAN/INN)
dr:D04943	Mespiperone C 11 (USAN)
dr:D04944	Iodolecithine (JAN)
dr:D04945	Chondroitin sulfate and iron colloid
dr:D04946	Ferric pyrophosphate, soluble (JAN)
dr:D04947	Mesterolone (USAN/INN)
dr:D04948	Potassium L-aspartate (JAN)
dr:D04949	Mesuprine hydrochloride (USAN)
dr:D04950	Metabromsalan (USAN)
dr:D04951	Metacresol (USP)
dr:D04952	Potassium aspartate and magnesium aspartate (JAN/USAN)
dr:D04953	Metalol hydrochloride (USAN)
dr:D04954	Metaproterenol polistirex (USAN)
dr:D04955	Sematilide hydrochloride (USAN)
dr:D04956	Ferric chloride, manganese chloride, zinc sulfate, cupric sulfate and potassium iodide
dr:D04957	Ferric chloride, zinc sulfate, cupric sulfate and potassium iodide
dr:D04958	L-Isoleucine, L-leucine and L-valine (JP17)
dr:D04959	Liver extract and flavin adenine dinucleotide
dr:D04960	Malt extract (JAN)
dr:D04961	Wine (JP17)
dr:D04962	Soybean oil (JP17/USP)
dr:D04963	Dextran 40 and glucose
dr:D04964	Metesind glucuronate (USAN)
dr:D04965	Perphenazine hydrochloride
dr:D04966	Metformin (USAN/INN)
dr:D04967	Carbazochrome, phytonadione and ascorbic acid
dr:D04968	Yellow beewax (JP17)
dr:D04969	White beeswax (JP17)
dr:D04970	Methacholine chloride (JAN/USP/INN)
dr:D04971	Methacrylic acid copolymer (NF)
dr:D04972	Methacycline (USAN)
dr:D04973	Methadyl acetate (USAN)
dr:D04975	Methallibure (USAN/INN)
dr:D04976	Methalthiazide (USAN)
dr:D04977	Parnaparin sodium (JP17)
dr:D04978	Sodium citrate hydrate, citric acid hydrate and glucose
dr:D04979	Methdilazine (INN)
dr:D04980	Methdilazine hydrochloride (USP)
dr:D04981	Tromethamol, sodium chloride and potassium chloride
dr:D04982	Methetoin (USAN/INN)
dr:D04983	Racemethionine (USAN)
dr:D04984	Methionine C 11
dr:D04985	Methohexital (USP/INN)
dr:D04986	Methopholine (USAN)
dr:D04987	Monoammonium glycyrrhizinate (JAN)
dr:D04988	Methyl aminolevulinate hydrochloride (USAN)
dr:D04989	Methyl isobutyl ketone (NF)
dr:D04990	Monoammonium glycyrrhizinate, glycine and L-cysteine hydrochloride
dr:D04991	Methyl nicotinate (USAN)
dr:D04992	Methyl palmoxirate (USAN)
dr:D04993	Monoammonium glycyrrhizinate, glycine and DL-methionine
dr:D04994	Liver hydrolysate
dr:D04995	Methylbenzethonium chloride (USP)
dr:D04996	Methylcellulose (JP17/USP/INN)
dr:D04997	Methyldopate hydrochloride (USP)
dr:D04999	Methylphenidate (USAN/INN)
dr:D05000	Methylprednisolone hemisuccinate (USP)
dr:D05001	Methylprednisolone sodium phosphate (USAN)
dr:D05002	Methylprednisolone suleptanate (USAN/INN)
dr:D05003	Methynodiol diacetate (USAN)
dr:D05004	Metiamide (USAN/INN)
dr:D05005	Metioprim (USAN/INN)
dr:D05006	Metizoline hydrochloride (USAN)
dr:D05007	Metkephamid acetate (USAN)
dr:D05008	Metoclopramide hydrochloride (USP)
dr:D05009	Metogest (USAN/INN)
dr:D05010	Metopimazine (USAN/INN)
dr:D05011	Metoprolol fumarate (USP)
dr:D05012	Metoquizine (USAN/INN)
dr:D05013	Metoserpate hydrochloride (USAN)
dr:D05014	Metreleptin (USAN/INN)
dr:D05015	Metrenperone (USAN/INN)
dr:D05016	Metronidazole hydrochloride (USAN)
dr:D05017	Metronidazole phosphate (USAN)
dr:D05018	Meturedepa (USAN/INN)
dr:D05019	Metyrapone tartrate (USAN)
dr:D05020	Mexrenoate potassium (USAN)
dr:D05021	Mezlocillin (USAN/INN)
dr:D05022	Mezlocillin sodium (USP)
dr:D05023	Sulfamonomethoxine hydrate (JP17)
dr:D05024	Mibefradil dihydrochloride (USAN)
dr:D05025	Mibolerone (USP/INN)
dr:D05026	Cefroxadine hydrate (JP17)
dr:D05027	Midaflur (USAN/INN)
dr:D05028	Midazolam maleate (USAN)
dr:D05029	Midostaurin (JAN/USAN/INN)
dr:D05030	Mifobate (USAN/INN)
dr:D05031	Migalastat hydrochloride (JAN/USAN)
dr:D05032	Miglustat (JAN/USAN/INN)
dr:D05033	Milacemide hydrochloride (USAN)
dr:D05034	Todralazine hydrochloride hydrate (JP17)
dr:D05035	Milameline hydrochloride (USAN)
dr:D05036	Milodistim (USAN/INN)
dr:D05037	Trimetoquinol hydrochloride hydrate (JP17)
dr:D05038	Mimbane hydrochloride (USAN)
dr:D05039	Minaprine (USAN/INN)
dr:D05040	Minaprine hydrochloride (USAN)
dr:D05041	Minaxolone (USAN/INN)
dr:D05042	Mineral oil (USP)
dr:D05043	Light liquid paraffin (JP17)
dr:D05044	Minocromil (USAN/INN)
dr:D05045	Minocycline (USAN/INN)
dr:D05046	Mioflazine hydrochloride (USAN)
dr:D05048	Mirfentanil hydrochloride (USAN)
dr:D05049	Mirincamycin hydrochloride (USAN)
dr:D05050	Mirisetron maleate (USAN)
dr:D05051	Mirostipen (USAN/INN)
dr:D05052	Misonidazole (USAN/INN)
dr:D05053	Mitemcinal fumarate (USAN)
dr:D05054	Mitindomide (USAN/INN)
dr:D05055	Mitocarcin (USAN)
dr:D05056	Mitocromin (USAN)
dr:D05057	Mitogillin (USAN/INN)
dr:D05058	Mitomalcin (USAN/INN)
dr:D05059	Mitosper (USAN/INN)
dr:D05060	Mitratapide (USAN/INN)
dr:D05061	Mitumomab (USAN/INN)
dr:D05062	Mivobulin isethionate (USAN)
dr:D05063	Mixidine (USAN/INN)
dr:D05064	Modaline sulfate (USAN)
dr:D05065	Modecainide (USAN/INN)
dr:D05066	Molgramostim (USAN/INN)
dr:D05067	Molinazone (USAN/INN)
dr:D05068	Monensin (USP)
dr:D05069	Monensin sodium (USP)
dr:D05070	Mono- and di-glycerides (NF)
dr:D05071	Mono- and di-acetylated monoglycerides
dr:D05072	Monobenzone (USP/INN)
dr:D05073	Monoctanoin (USAN)
dr:D05074	Monoethanolamine (NF)
dr:D05075	Monothioglycerol (NF)
dr:D05076	Morantel tartrate (USP)
dr:D05077	Moricizine (USAN)
dr:D05078	Morniflumate (USAN)
dr:D05079	Morrhuate sodium (USP)
dr:D05080	Motexafin gadolinium (USAN)
dr:D05081	Motexafin lutetium (USAN)
dr:D05082	Motretinide (USAN/INN)
dr:D05083	Moxazocine (USAN/INN)
dr:D05084	Moxidectin (USP/INN)
dr:D05085	Moxilubant maleate (USAN)
dr:D05086	Moxnidazole (USAN/INN)
dr:D05087	Moxonidine (USAN/INN)
dr:D05089	Freeze-dried live attenuated mumps vaccine (JP17)
dr:D05090	Muplestim (USAN/INN)
dr:D05091	Muraglitazar (USAN/INN)
dr:D05092	Muromonab-CD3 (JAN/USAN/INN)
dr:D05093	Muzolimine (USAN/INN)
dr:D05094	Mycophenolate mofetil hydrochloride (USAN)
dr:D05095	Mycophenolate sodium (USP)
dr:D05096	Mycophenolic acid (USAN/INN)
dr:D05097	Myristyl alcohol (NF)
dr:D05098	Nabazenil (USAN/INN)
dr:D05099	Nabilone (USAN/INN)
dr:D05100	Nabitan hydrochloride (USAN)
dr:D05101	Naboctate hydrochloride (USAN)
dr:D05102	Nafenopin (USAN/INN)
dr:D05103	Nafimidone hydrochloride (USAN)
dr:D05104	Naflocort (USAN)
dr:D05105	Nafomine malate (USAN)
dr:D05106	Nafoxidine hydrochloride (USAN)
dr:D05107	Nafronyl oxalate (USAN)
dr:D05108	Naftalofos (USAN/INN)
dr:D05109	Nagrestipen (USAN/INN)
dr:D05110	Nalidixate sodium (USAN)
dr:D05111	Nalmefene (USAN/INN)
dr:D05112	Nalmexone hydrochloride (USAN)
dr:D05113	Naltrexone (USAN/INN)
dr:D05114	Naminidil (USAN/INN)
dr:D05115	Namoxyrate (USAN/INN)
dr:D05116	Nandrolone cyclotate (USAN)
dr:D05117	Nantradol hydrochloride (USAN)
dr:D05118	Napactadine hydrochloride (USAN)
dr:D05119	Napamezole hydrochloride (USAN)
dr:D05120	Napitane mesylate (USAN)
dr:D05121	Naproxol (USAN/INN)
dr:D05122	Narasin (USP/INN)
dr:D05123	Nasaruplase beta (USAN/INN)
dr:D05124	Naxagolide hydrochloride (USAN)
dr:D05125	Naxifylline (USAN/INN)
dr:D05126	Nebacumab (USAN/INN)
dr:D05127	Nebivolol (USAN/INN)
dr:D05128	Nebramycin (USAN)
dr:D05129	Nedocromil (USAN/INN)
dr:D05130	Nedocromil calcium (USAN)
dr:D05131	Neflumozide hydrochloride (USAN)
dr:D05133	Nefopam hydrochloride (USAN)
dr:D05134	Nelarabine (JAN/USAN/INN)
dr:D05135	Nelezaprine maleate (USAN)
dr:D05137	Nemadectin (USAN/INN)
dr:D05138	Nemazoline hydrochloride (USAN)
dr:D05139	Nemifitide ditriflutate (USAN)
dr:D05140	Framycetin (INN)
dr:D05141	Neomycin palmitate (USAN)
dr:D05142	Neomycin undecylenate (USAN)
dr:D05143	Nepafenac (JAN/USAN/INN)
dr:D05144	Nequinate (USAN)
dr:D05145	Neramexane mesylate (USAN)
dr:D05146	Nerelimomab (USAN/INN)
dr:D05147	Nesiritide (USAN/INN)
dr:D05148	Nesiritide citrate (USAN)
dr:D05149	Netobimin (USAN/INN)
dr:D05150	Netoglitazone (USAN/INN)
dr:D05152	Netupitant (USAN/INN)
dr:D05153	Neutramycin (USAN)
dr:D05154	Nexeridine hydrochloride (USAN)
dr:D05155	Nibroxane (USAN/INN)
dr:D05156	Nicotine bitartrate (USAN)
dr:D05157	Nicotine polacrilex (USP)
dr:D05158	Nicotinyl alcohol (USAN)
dr:D05159	Nifuraldezone (USAN/INN)
dr:D05160	Nifuratrone (USAN/INN)
dr:D05161	Nifurdazil (USAN/INN)
dr:D05162	Nifurimide (USAN)
dr:D05163	Nifurmerone (USAN/INN)
dr:D05164	Nifurquinazol (USAN/INN)
dr:D05165	Nifursemizone (USAN/INN)
dr:D05166	Nifursol (USAN)
dr:D05167	Nifurthiazole (USAN/INN)
dr:D05168	Nimazone (USAN)
dr:D05169	Nimidane (USAN/INN)
dr:D05170	Niridazole (USAN/INN)
dr:D05171	Nisbuterol mesylate (USAN)
dr:D05172	Nisobamate (USAN/INN)
dr:D05173	Nisoxetine (USAN/INN)
dr:D05174	Nisterime acetate (USAN)
dr:D05175	Nitarsone (USAN/INN)
dr:D05176	Nithiamide (USAN)
dr:D05177	Nitisinone (JAN/USAN/INN)
dr:D05178	Nitrafudam hydrochloride (USAN)
dr:D05179	Nitralamine hydrochloride (USAN)
dr:D05180	Nitramisole hydrochloride (USAN)
dr:D05181	Aspirin aluminum (JP17)
dr:D05182	Influenza HA vaccine (JP17)
dr:D05183	Ulinastatin (JP17)
dr:D05184	Nitrocycline (USAN/INN)
dr:D05185	Nitrodan (USAN)
dr:D05186	Orange oil (JP17/NF)
dr:D05187	Gas gangrene antitoxin, equine (JP17)
dr:D05188	Nitromersol (USP)
dr:D05189	Sodium pertechnetate Tc 99m (USP)
dr:D05190	Carnauba wax (JP17)
dr:D05191	Nitromide (USAN)
dr:D05192	Nitromifene citrate (USAN)
dr:D05193	Nitroscanate (USAN/INN)
dr:D05194	Nivazol (USAN)
dr:D05195	Nivimedone sodium (USAN)
dr:D05196	Noberastine (USAN/INN)
dr:D05197	Nocodazole (USAN/INN)
dr:D05198	Nogalamycin (USAN/INN)
dr:D05199	Nolinium bromide (USAN/INN)
dr:D05200	Nomifensine maleate (USAN)
dr:D05201	Nonacog alfa (USAN/INN)
dr:D05203	Noracymethadol hydrochloride (USAN)
dr:D05204	Norbolethone (USAN)
dr:D05205	Norelgestromin (USP/INN)
dr:D05206	Norepinephrine bitartrate (USP)
dr:D05207	Norethynodrel (USAN)
dr:D05208	Norflurane (USAN/INN)
dr:D05209	Norgestimate (USP/INN)
dr:D05210	Norgestomet (USAN/INN)
dr:D05211	Nufenoxole (USAN/INN)
dr:D05212	Nylestriol (USAN)
dr:D05213	Nifluridide (USAN)
dr:D05214	Colloidial oatmeal (USP)
dr:D05215	Obidoxime chloride (USAN)
dr:D05216	Oblimersen sodium (USAN)
dr:D05217	Ocfentanil hydrochloride (USAN)
dr:D05218	Ocrelizumab (USAN)
dr:D05219	Ocrylate (USAN/INN)
dr:D05220	Octanoic acid (USAN/INN)
dr:D05221	Octazamide (USAN/INN)
dr:D05222	Octenidine hydrochloride (USAN)
dr:D05223	Octenidine saccharin (USAN)
dr:D05224	Octicizer (USAN)
dr:D05225	Octinoxate (USP/INN)
dr:D05226	Octisalate (USP/INN)
dr:D05227	Octocrylene (USP)
dr:D05228	Octodrine (USAN/INN)
dr:D05229	Octoxynol 9 (NF)
dr:D05230	Octreotide pamoate (USAN)
dr:D05231	Octriptyline phosphate (USAN)
dr:D05232	Octrizole (USAN/INN)
dr:D05233	Octyldodecanol (NF)
dr:D05234	Ofornine (USAN/INN)
dr:D05235	Oglufanide disodium (USAN)
dr:D05236	Ointment, bland lubricating (USP)
dr:D05237	Ointment, hydrophilic (USP)
dr:D05238	Ointment, rose water (USP)
dr:D05239	Ointment, white (USP)
dr:D05240	Ointment, yellow (USP)
dr:D05241	Olaflur (USAN/INN)
dr:D05242	Oleic acid I 125 (USAN)
dr:D05243	Oleic acid I 131 (USAN)
dr:D05244	Oleovitamin A and D (USP)
dr:D05245	Oleyl alcohol (NF)
dr:D05246	Olmesartan (USAN/INN)
dr:D05247	Beef tallow (JP17)
dr:D05248	Freeze-dried inactivated tissue culture ravies vaccine (JP17)
dr:D05249	Olvanil (USAN)
dr:D05250	Omaciclovir (USAN/INN)
dr:D05251	Omalizumab (USAN/INN)
dr:D05252	Sodium chromate Cr 51 (USP)
dr:D05253	Wheat starch (JP17)
dr:D05254	Rice starch (JP17)
dr:D05255	Omega-3-acid ethyl esters (USP)
dr:D05256	Diphtheria-tetanus combined toxoid (JP17)
dr:D05257	Adsorbed diphtheria-tetanus combined toxoid (JP17)
dr:D05258	Serum gonadotrophin (JAN)
dr:D05259	Omeprazole magnesium (USP)
dr:D05260	Petroleum benzin (JP17)
dr:D05261	Omeprazole sodium injection (JAN)
dr:D05262	Omiganan pentahydrochloride (USAN)
dr:D05263	Onercept (USAN/INN)
dr:D05265	Opebacan (USAN/INN)
dr:D05266	Oprelvekin (USAN/INN)
dr:D05267	Orbofiban acetate (USAN)
dr:D05268	Orconazole nitrate (USAN)
dr:D05269	Oregovomab (USAN/INN)
dr:D05270	Orgotein (USAN/INN)
dr:D05271	Oritavancin diphosphate (USAN)
dr:D05272	Ormaplatin (USAN/INN)
dr:D05273	Ormetoprim (USAN/INN)
dr:D05274	Ornidazole (USAN/INN)
dr:D05275	Orpanoxin (USAN/INN)
dr:D05276	Pirenzepine hydrochloride hydrate (JP17)
dr:D05277	Formoterol fumarate hydrate (JP17)
dr:D05278	Oxagrelate (USAN/INN)
dr:D05279	Purified shellac (JP17)
dr:D05280	Oxamarin hydrochloride (USAN)
dr:D05281	Oxamisole hydrochloride (USAN)
dr:D05282	Sorbitan sesquioleate (JP17/NF/INN)
dr:D05283	Dried sodium carbonate (JP17)
dr:D05284	Oxaprotiline hydrochloride (USAN)
dr:D05285	Oxarbazole (USAN/INN)
dr:D05286	Simple syrup (JP17)
dr:D05287	Simple ointment (JP17)
dr:D05288	Thianthol (JP17)
dr:D05289	Camellia oil (JP17)
dr:D05290	Oxetorone fumarate (USAN)
dr:D05291	Oxfendazole (USP/INN)
dr:D05292	Oxfenicine (USAN/INN)
dr:D05293	Oxibendazole (USAN/INN)
dr:D05294	Oxidopamine (USAN/INN)
dr:D05295	Smallpox vaccine (USP)
dr:D05296	Oxidronic acid (USAN)
dr:D05297	Corn starch (JP17)
dr:D05298	Oxifungin hydrochloride (USAN)
dr:D05299	Oxilorphan (USAN/INN)
dr:D05300	Oximonam (USAN/INN)
dr:D05301	Lard (JP17)
dr:D05302	Oximonam sodium (USAN)
dr:D05303	Oxiramide (USAN/INN)
dr:D05304	Petrolatum, white (USP)
dr:D05305	Oxisuran (USAN/INN)
dr:D05306	Oxmetidine hydrochloride (USAN)
dr:D05307	Oxmetidine mesylate (USAN)
dr:D05308	Oxogestone phenpropionate (USAN)
dr:D05309	Oxybenzone (USP/INN)
dr:D05310	Oxychlorosene (USAN)
dr:D05311	Oxychlorosene sodium (USAN)
dr:D05312	Oxycodone (USAN/INN)
dr:D05313	Japanese encephalitis vaccine (JP17)
dr:D05315	Oxygen 93 percent (USP)
dr:D05316	Tetanus toxoid adsorbed (USP)
dr:D05317	Freeze-dried habu antivenom, equine (JP17)
dr:D05318	Potato starch (JP17)
dr:D05319	Oxyphenbutazone hydrate
dr:D05320	Oxyphenisatin acetate (USAN)
dr:D05321	Oxyquinoline (USAN)
dr:D05322	Oxytetracycline calcium (USP)
dr:D05323	Ozolinone (USAN)
dr:D05324	Adsorbed hepatitis B vaccine (huGK-14 cell origin) (JAN)
dr:D05326	Coconut oil (JP17/NF)
dr:D05327	Eucalyptus oil (JP17)
dr:D05328	Sodium iodide I 123 (USP)
dr:D05329	Ringer's injection (USP)
dr:D05330	Weil's disease and akiyami combined vaccine (JP17)
dr:D05331	Petrolatum (USP)
dr:D05332	Hydrophilic petrolatum (JP17)
dr:D05333	Paclitaxel poliglumex (USAN/INN)
dr:D05334	Padimate A (USAN)
dr:D05335	Padimate O (USP)
dr:D05337	Paldimycin (USAN)
dr:D05338	Palifermin (USAN/INN)
dr:D05339	Paliperidone (JAN/USP/INN)
dr:D05340	Paliperidone palmitate (JAN/USAN)
dr:D05341	Palmitic acid (NF)
dr:D05342	Palmoxirate sodium (USAN)
dr:D05343	Palonosetron hydrochloride (JAN/USP)
dr:D05344	Pamaqueside (USAN/INN)
dr:D05345	Pamatolol sulfate (USAN)
dr:D05346	Panadiplon (USAN/INN)
dr:D05347	Acrinol and zinc oxide oil (JP17)
dr:D05348	Pancopride (USAN/INN)
dr:D05349	Pancrelipase (JAN/USP)
dr:D05350	Panitumumab (USAN/INN)
dr:D05351	Josamycin propionate (JP17)
dr:D05352	Isotonic sodium chloride solution (JP17)
dr:D05353	Pantoprazole (USAN/INN)
dr:D05354	Absorptive cream (JP17)
dr:D05355	Papain (USP)
dr:D05356	Adsorbed diphtheria-purified pertussis-tetanus combined vaccine (JP17)
dr:D05357	Parachlorophenol, camphorated
dr:D05358	Paraffin, synthetic (NF)
dr:D05359	Paranyline hydrochloride (USAN)
dr:D05360	Parapenzolate bromide (USAN/INN)
dr:D05361	Pararosaniline pamoate (USAN)
dr:D05362	Rubella virus vaccine live (USP)
dr:D05363	Pullulan (JP17)
dr:D05364	Parathyroid hormone (human) (USAN)
dr:D05365	Parbendazole (USAN/INN)
dr:D05366	Procaterol hydrochloride hydrate (JP17)
dr:D05367	Parconazole hydrochloride (USAN)
dr:D05368	Freeze-dried botulism antitoxin, equine (JP17)
dr:D05369	Paregoric (USP)
dr:D05371	Pareptide sulfate (USAN)
dr:D05372	Freeze-dried mamushi antivenom, equine (JP17)
dr:D05373	Maltose hydrate (JP17)
dr:D05374	Paroxetine hydrochloride (USP)
dr:D05375	Paroxetine mesylate (USAN)
dr:D05376	Partricin (USAN)
dr:D05377	Pascolizumab (USAN/INN)
dr:D05378	Pazinaclone (USAN/INN)
dr:D05379	Paulomycin (USAN)
dr:D05380	Pazopanib hydrochloride (JAN/USAN)
dr:D05381	Pazoxide (USAN/INN)
dr:D05382	Pazufloxacin mesilate (JP17)
dr:D05383	Pegacaristim (USAN/INN)
dr:D05384	Pegademase bovine (USAN)
dr:D05385	Pegamotecan (USAN)
dr:D05386	Pegaptanib sodium (JAN/USAN)
dr:D05387	Pegaspargase (USAN/INN)
dr:D05388	Peglicol 5 oleate (USAN)
dr:D05389	Pegnartograstim (USAN/INN)
dr:D05390	Pegorgotein (USAN/INN)
dr:D05391	Pegoterate (USAN/INN)
dr:D05392	Pegoxel 7 stearate (USAN)
dr:D05393	Pegsunercept (USAN)
dr:D05394	Pegvisomant (USAN/INN)
dr:D05395	Pelanserin hydrochloride (USAN)
dr:D05396	Peldesine (USAN)
dr:D05397	Peliglitazar (USAN)
dr:D05398	Peliomycin (USAN/INN)
dr:D05399	Pelitinib (USAN/INN)
dr:D05400	Pelitrexol (USAN/INN)
dr:D05401	Octocog alfa (INN)
dr:D05402	Pelretin (USAN/INN)
dr:D05403	Pelrinone hydrochloride (USAN)
dr:D05404	Pemedolac (USAN/INN)
dr:D05405	Pemerid nitrate (USAN)
dr:D05406	Penamecillin (USAN/INN)
dr:D05407	Penciclovir (USAN/INN)
dr:D05408	Penicillin G sodium (USP)
dr:D05409	Rurioctocog alfa (genetical recombination) (JAN)
dr:D05410	Pamiteplase (INN)
dr:D05411	Penicillin V (USP)
dr:D05412	Monteplase (INN)
dr:D05413	Penicillin V hydrabamine (USP)
dr:D05414	Pentabamate (USAN/INN)
dr:D05416	Pentamorphone (USAN/INN)
dr:D05417	Pentamustine (USAN)
dr:D05418	Pentapiperium methylsulfate (USAN)
dr:D05419	Pentetate calcium trisodium (JAN/USAN)
dr:D05420	Pentetate calcium trisodium Yb 169 (USAN)
dr:D05421	Pentetate indium disodium In 111 (USAN)
dr:D05422	Pentetic acid (USP/INN)
dr:D05423	Pentigetide (USAN/INN)
dr:D05424	Human serum albumin (genetical recombination) (JAN)
dr:D05425	Pentisomicin (USAN/INN)
dr:D05426	Pentizidone sodium (USAN)
dr:D05427	Pentomone (USAN/INN)
dr:D05428	Pentosan polysulfate sodium (USAN/INN)
dr:D05429	Aminophylline hydrate (JP17)
dr:D05430	Pentrinitrol (USAN)
dr:D05431	Mentha herb (JP17)
dr:D05432	Peppermint oil (NF)
dr:D05433	Peppermint spirit (USP)
dr:D05434	Peppermint water (NF)
dr:D05436	Perflenapent (USAN/INN)
dr:D05437	Perflexane (USAN/INN)
dr:D05438	Perflisopent (USAN/INN)
dr:D05439	Perflubron (USP/INN)
dr:D05440	Perflubutane (JAN/USAN/INN)
dr:D05441	Perfosfamide (USAN/INN)
dr:D05442	Perhexiline maleate (USAN)
dr:D05443	Permethrin (USAN/INN)
dr:D05444	Pertussis immune globulin (USP)
dr:D05445	Adsorbed purified pertussis vaccine (JP17)
dr:D05446	Pertuzumab (USAN/INN)
dr:D05447	Perzinfotel (USAN/INN)
dr:D05448	Pexiganan acetate (USAN)
dr:D05450	Phenazopyridine hydrochloride (USP)
dr:D05451	Phenbutazone sodium glycerate (USAN)
dr:D05452	Phencarbamide (USAN)
dr:D05453	Phencyclidine hydrochloride (USAN)
dr:D05454	Phenmetrazine hydrochloride (USP)
dr:D05455	Phenolate sodium (USAN)
dr:D05456	Phenolphthalein (INN)
dr:D05457	Phenprocoumon (USAN/INN)
dr:D05458	Phentermine (USAN/INN)
dr:D05459	Phentermine hydrochloride (USP)
dr:D05460	Phenyl aminosalicylate (USAN)
dr:D05461	Enoxacin hydrate (JP17)
dr:D05462	Oxycodone hydrochloride hydrate (JP17)
dr:D05463	Calcium gluconate hydrate (JP17)
dr:D05464	Phenylmercuric acetate (NF)
dr:D05465	Phenylmercuric nitrate (NF)
dr:D05466	Phenylpropanolamine polistirex (USAN)
dr:D05467	Phosphoric acid (NF)
dr:D05468	Phthalofyne (USAN)
dr:D05469	Phytate persodium (USAN)
dr:D05470	Phytate sodium (USAN)
dr:D05471	Piboserod hydrochloride (USAN)
dr:D05472	Pibrozelesin hydrobromide (USAN)
dr:D05473	Picenadol hydrochloride (USAN)
dr:D05474	Piclamilast (USAN/INN)
dr:D05475	Picotrin diolamine (USAN)
dr:D05476	Picumeterol fumarate (USAN)
dr:D05477	Pifarnine (USAN/INN)
dr:D05478	Pilocarpine nitrate (USP)
dr:D05479	Pimagedine hydrochloride (USAN)
dr:D05480	Pimecrolimus (JAN/USAN/INN)
dr:D05481	Pimetine hydrochloride (USAN)
dr:D05482	Pinacidil (USAN)
dr:D05483	Pinadoline (USAN)
dr:D05484	Pipazethate (USAN)
dr:D05485	Piperamide maleate (USAN)
dr:D05486	Piperazine edetate calcium (USAN/INN)
dr:D05487	Piposulfan (USAN/INN)
